steps	episodes	average_discriminator_loss	average_D_output	average_mod_rewards	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates
1024000	1000	-0.7521333526074886	-0.10734501633793116	nan	-0.10734500311452626	-0.32677615	0.5005919	0.110270986109972	-0.010733239613473415	160000
2048000	2000	-0.5269277326762676	0.11690668674185872	nan	0.1169066933674819	0.8742197	0.49522838	0.08003554996103049	-0.0073824083432555195	320000
3072000	3000	-0.3365070666372776	0.23028830459186186	nan	0.23028830895589744	-0.3127395	0.46305895	0.059034141823649404	-0.007235562466084957	480000
4096000	4000	-0.44201664078235625	0.2891784898971673	nan	0.28917849250528604	1.6362033	0.4879381	0.061543181724846366	-0.008848571833223105	640000
5120000	5000	-0.3506924124658108	0.3020703436760232	nan	0.3020703457440009	1.9130032	0.45614123	0.07301121238619089	-0.01069736374542117	800000
6144000	6000	-0.38402560925483703	0.3054935968457721	nan	0.30549359885224076	-0.3207208	0.4426264	0.06014912858605385	0.006552584059536457	960000
7168000	7000	-0.2574090724736452	0.31841090102214364	nan	0.3184109027200704	1.8073907	0.47957903	0.056125091873109344	-0.009483453184366226	1120000
8192000	8000	-0.40052369762957096	0.3166728914662963	nan	0.316672894355647	0.62002426	0.47246647	0.06718374762684107	0.0016948454733937978	1280000
9216000	9000	-0.32511252564191817	0.31119885043913703	nan	0.3111988523487992	0.6845329	0.46892488	0.06552958969026804	0.007554699033498764	1440000
10240000	10000	-0.3097298131734133	0.3062368908538483	nan	0.30623689219928485	0.42866498	0.4666974	0.06041976913809776	0.00369756069034338	1600000
11264000	11000	-0.2132700871154666	0.3587646901966073	nan	0.3587646899127806	1.5535388	0.4671498	0.048145138658583164	-0.005224121063947678	1760000
12288000	12000	-0.23121990655362606	0.36294516589306297	nan	0.3629451660404456	0.40583524	0.45996106	0.05419514529407024	-0.007176445573568344	1920000
13312000	13000	-0.2639779306054115	0.36193388254917225	nan	0.36193388210778765	0.6252108	0.4612558	0.056429117247462274	-0.0073180436436086896	2080000
14336000	14000	-0.2367508992254734	0.34846353162941524	nan	0.3484635318678239	0.08533269	0.4643927	0.057491956651210784	0.01194157425314188	2240000
15360000	15000	-0.1674622626155615	0.33524590378371066	nan	0.3352459042993338	-0.1369167	0.44582254	0.059234431385993956	-0.006381257930770517	2400000
16384000	16000	-0.20525328500568868	0.3300966688725166	nan	0.3300966695512551	0.8597926	0.47202376	0.07199103686958551	-0.0006548187136650085	2560000
17408000	17000	-0.17033864913135768	0.31640828747232447	nan	0.31640828821848127	0.17760311	0.47032604	0.059227017238736156	-0.001831764467060566	2720000
18432000	18000	-0.164377693451941	0.31942794419941495	nan	0.3194279434469532	0.65868586	0.46540636	0.060054680481553074	-0.004070849977433681	2880000
19456000	19000	-0.1650745071321726	0.31977561002015137	nan	0.3197756098114999	-0.35758245	0.46821377	0.05163989972323179	0.017274356577545405	3040000
20480000	20000	-0.17317901179939507	0.32277314086491243	nan	0.32277314090394965	0.27061322	0.45649952	0.07363819312304258	0.005253474041819572	3200000
