steps	episodes	average_discriminator_loss	average_D_output	average_mod_rewards	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates
1024000	1000	-0.81727654504776	0.23108155269175767	nan	0.23108154857356028	0.15270184	0.53639734	0.06777704276144504	-0.0012135626096278428	160000
2048000	2000	-0.4509125088304281	0.04523293478414416	nan	0.045232933698502654	0.3658728	0.46205023	0.05316888395696878	-0.009937059748917818	320000
3072000	3000	-0.4490186564028263	-0.1023830013970534	nan	-0.10238299849793445	0.2807428	0.48298755	0.05691222488880157	0.0041239351592957975	480000
4096000	4000	-0.42385644547641277	-0.42507608415558934	nan	-0.4250760825246696	-2.4269862	0.4609257	0.06449734162539243	-0.011848229244351386	640000
5120000	5000	-0.3597580150663853	-0.7947358434349299	nan	-0.794735843960499	-2.0466237	0.44757977	0.07057800129055977	-0.0020522920601069926	800000
6144000	6000	-0.2632195514440536	-1.020846334906916	nan	-1.0208463390896751	-2.3661752	0.47023743	0.0700009224563837	0.001633340073749423	960000
7168000	7000	-0.4588004314005375	-1.091776680973957	nan	-1.091776684657764	-0.7588571	0.4873815	0.060242064855992795	-0.0098155199829489	1120000
8192000	8000	-0.33905991245806216	-1.0744789131925792	nan	-1.0744789154959287	-1.6072227	0.4195559	0.07006368227303028	-0.009175257328897714	1280000
9216000	9000	-0.47427831226587297	-1.0091631522761761	nan	-1.0091631548715876	-0.7620332	0.4770802	0.057940005846321585	-0.014644271666184068	1440000
10240000	10000	-0.3809551597088575	-0.9505218853873666	nan	-0.9505218872778498	0.15502325	0.49029708	0.07279184471815825	0.0021238197665661572	1600000
11264000	11000	-0.24832077591121196	-1.0063287469276694	nan	-1.0063287486269978	-1.4345548	0.48802963	0.055965536683797834	-0.007630365509539843	1760000
12288000	12000	-0.32530864609777926	-1.0106149968986866	nan	-1.0106149991316933	0.3352207	0.4821392	0.06100488733500242	-0.006442632088437677	1920000
13312000	13000	-0.23352831304073335	-0.9974641060169088	nan	-0.9974641095010074	0.7861676	0.47946414	0.06178878553211689	0.00616924649104476	2080000
14336000	14000	-0.29117941175401213	-0.9004131729501532	nan	-0.9004131763951349	-0.48598891	0.4759048	0.06786861725151538	-0.009415608663111925	2240000
15360000	15000	-0.21288694722950458	-0.7333899834715994	nan	-0.7333899853772475	-1.3675293	0.45714742	0.06006298985332251	0.0035087289288640022	2400000
16384000	16000	-0.17338619458675383	-0.5897959085219773	nan	-0.5897959080012193	-0.91172653	0.4553965	0.06468067657202482	-0.014570166040211916	2560000
17408000	17000	-0.17162861836701632	-0.5092100928876316	nan	-0.5092100921305036	-0.7394431	0.47363618	0.06677726075053216	-0.0024373404309153556	2720000
18432000	18000	-0.19426229394227265	-0.48786914176156276	nan	-0.48786914162269635	-0.9413025	0.4531648	0.06171696826815605	0.0039015210792422293	2880000
19456000	19000	-0.16009051794558762	-0.5128253813780611	nan	-0.5128253811061684	-0.5508602	0.46517342	0.07545895453542471	0.012741783782839775	3040000
20480000	20000	-0.2191894910335541	-0.5499434031484416	nan	-0.5499434033340258	-0.6654545	0.46684697	0.13507766634225846	-0.0009590223990380764	3200000
