Number of training steps,Wasserstein distance,Comparison with
1095000,0.009300000000000001,Experts
1095000,0.005926315789473685,Experts
1095000,0.005042105263157897,Experts
1095000,0.007357894736842109,Experts
1095000,0.007194736842105265,Experts
1095000,0.01040526315789474,Experts
1095000,0.0066631578947368465,Experts
1095000,0.008099999999999998,Experts
1095000,0.00829473684210527,Experts
1095000,0.0074105263157894785,Experts
1095000,0.0076263157894736885,Experts
1095000,0.006952631578947373,Experts
1095000,0.007789473684210527,Experts
1095000,0.008168421052631582,Experts
1095000,0.007463157894736848,Experts
1095000,0.0068315789473684255,Experts
1095000,0.007568421052631582,Experts
1095000,0.005694736842105268,Experts
1095000,0.008357894736842104,Experts
1095000,0.007910526315789474,Experts
1095000,0.011936842105263162,Experts
1095000,0.006715789473684208,Experts
1095000,0.005494736842105266,Experts
1095000,0.006515789473684209,Experts
1095000,0.012542105263157901,Experts
1095000,0.010073684210526315,Experts
1095000,0.008799999999999999,Experts
1095000,0.007447368421052631,Experts
1095000,0.010852631578947372,Experts
1095000,0.00738947368421053,Experts
1095000,0.007626315789473688,Experts
1095000,0.0076789473684210525,Experts
1095000,0.005678947368421051,Experts
1095000,0.005147368421052634,Experts
1095000,0.006189473684210528,Experts
1095000,0.005410526315789477,Experts
1095000,0.007052631578947371,Experts
1095000,0.0077473684210526365,Experts
1095000,0.009015789473684217,Experts
1095000,0.007773684210526321,Experts
1095000,0.0065263157894736865,Experts
1095000,0.00595263157894737,Experts
1095000,0.007047368421052634,Experts
1095000,0.010152631578947373,Experts
1095000,0.007405263157894739,Experts
1095000,0.00768421052631579,Experts
1095000,0.008252631578947374,Experts
1095000,0.007436842105263162,Experts
1095000,0.0058526315789473645,Experts
1095000,0.00630526315789474,Experts
1095000,0.007347368421052635,Experts
1095000,0.006178947368421051,Experts
1095000,0.0067789473684210545,Experts
1095000,0.007978947368421056,Experts
1095000,0.006115789473684207,Experts
1095000,0.006657894736842109,Experts
1095000,0.0072631578947368455,Experts
1095000,0.006247368421052636,Experts
1095000,0.00447894736842105,Experts
1095000,0.00844736842105263,Experts
1095000,0.0051526315789473705,Experts
1095000,0.007010526315789472,Experts
1095000,0.005421052631578946,Experts
1095000,0.007294736842105267,Experts
1095000,0.006547368421052634,Experts
1095000,0.005031578947368422,Experts
1095000,0.0033315789473684224,Experts
1095000,0.007636842105263156,Experts
1095000,0.006721052631578948,Experts
1095000,0.006984210526315793,Experts
1095000,0.00871578947368421,Experts
1095000,0.004563157894736846,Experts
1095000,0.005173684210526319,Experts
1095000,0.0060421052631578955,Experts
1095000,0.005642105263157896,Experts
1095000,0.007063157894736842,Experts
1095000,0.013900000000000003,Experts
1095000,0.006936842105263158,Experts
1095000,0.005547368421052631,Experts
1095000,0.0076052631578947365,Experts
1095000,0.015131578947368426,Experts
1095000,0.005836842105263158,Experts
1095000,0.005942105263157896,Experts
1095000,0.006536842105263155,Experts
1095000,0.005589473684210523,Experts
1095000,0.0061631578947368435,Experts
1095000,0.004957894736842104,Experts
1095000,0.007873684210526317,Experts
1095000,0.0089421052631579,Experts
1095000,0.0053473684210526345,Experts
1095000,0.006315789473684213,Experts
1095000,0.0041473684210526305,Experts
1095000,0.008694736842105266,Experts
1095000,0.008178947368421053,Experts
1095000,0.006994736842105263,Experts
1095000,0.00565263157894737,Experts
1095000,0.008642105263157897,Experts
1095000,0.008168421052631578,Experts
1095000,0.013136842105263162,Experts
1095000,0.007636842105263162,Experts
1095000,0.005615789473684213,New customers
1095000,0.009847368421052632,Closest expert
1095000,0.011568421052631582,New customers
1095000,0.009857894736842105,Closest expert
1095000,0.012531578947368425,New customers
1095000,0.009442105263157894,Closest expert
1095000,0.005915789473684208,New customers
1095000,0.009889473684210528,Closest expert
1095000,0.006405263157894735,New customers
1095000,0.010194736842105263,Closest expert
1095000,0.0047052631578947375,New customers
1095000,0.00943157894736842,Closest expert
1095000,0.008363157894736843,New customers
1095000,0.010305263157894737,Closest expert
1095000,0.0068947368421052625,New customers
1095000,0.009084210526315788,Closest expert
1095000,0.006694736842105267,New customers
1095000,0.01013684210526316,Closest expert
1095000,0.006752631578947367,New customers
1095000,0.008652631578947368,Closest expert
1095000,0.00753157894736842,New customers
1095000,0.009642105263157895,Closest expert
1095000,0.007789473684210529,New customers
1095000,0.009126315789473684,Closest expert
1095000,0.006268421052631578,New customers
1095000,0.009468421052631579,Closest expert
1095000,0.006221052631578949,New customers
1095000,0.009789473684210527,Closest expert
1095000,0.0067210526315789505,New customers
1095000,0.010294736842105263,Closest expert
1095000,0.014373684210526316,New customers
1095000,0.00933157894736842,Closest expert
1095000,0.006100000000000004,New customers
1095000,0.010305263157894737,Closest expert
1095000,0.005915789473684209,New customers
1095000,0.008778947368421053,Closest expert
1095000,0.007194736842105268,New customers
1095000,0.009215789473684212,Closest expert
1095000,0.008147368421052629,New customers
1095000,0.009478947368421052,Closest expert
1095000,0.00876842105263158,New customers
1095000,0.010042105263157894,Closest expert
