Number of training steps,Wasserstein distance,Comparison with
1095000,0.009357894736842107,Experts
1095000,0.007910526315789479,Experts
1095000,0.008931578947368428,Experts
1095000,0.006526315789473692,Experts
1095000,0.007778947368421056,Experts
1095000,0.010605263157894743,Experts
1095000,0.006957894736842112,Experts
1095000,0.007726315789473686,Experts
1095000,0.008657894736842111,Experts
1095000,0.007157894736842112,Experts
1095000,0.0072421052631579,Experts
1095000,0.010015789473684216,Experts
1095000,0.00807368421052632,Experts
1095000,0.0077473684210526365,Experts
1095000,0.007884210526315796,Experts
1095000,0.005773684210526321,Experts
1095000,0.006915789473684217,Experts
1095000,0.009900000000000006,Experts
1095000,0.007731578947368424,Experts
1095000,0.007778947368421059,Experts
1095000,0.011657894736842112,Experts
1095000,0.005189473684210528,Experts
1095000,0.006700000000000006,Experts
1095000,0.006600000000000003,Experts
1095000,0.012873684210526324,Experts
1095000,0.009931578947368423,Experts
1095000,0.008215789473684213,Experts
1095000,0.007357894736842109,Experts
1095000,0.011615789473684215,Experts
1095000,0.007668421052631587,Experts
1095000,0.008094736842105267,Experts
1095000,0.008552631578947372,Experts
1095000,0.005757894736842109,Experts
1095000,0.006742105263157901,Experts
1095000,0.006226315789473688,Experts
1095000,0.006447368421052638,Experts
1095000,0.0067000000000000046,Experts
1095000,0.008973684210526321,Experts
1095000,0.007721052631578955,Experts
1095000,0.008421052631578954,Experts
1095000,0.00861052631578948,Experts
1095000,0.004789473684210532,Experts
1095000,0.006836842105263165,Experts
1095000,0.01181052631578948,Experts
1095000,0.007836842105263163,Experts
1095000,0.007152631578947374,Experts
1095000,0.007921052631578954,Experts
1095000,0.008200000000000006,Experts
1095000,0.005368421052631579,Experts
1095000,0.005526315789473691,Experts
1095000,0.008142105263157902,Experts
1095000,0.006005263157894739,Experts
1095000,0.006336842105263163,Experts
1095000,0.008021052631578951,Experts
1095000,0.005589473684210528,Experts
1095000,0.006689473684210532,Experts
1095000,0.0065578947368421115,Experts
1095000,0.010794736842105267,Experts
1095000,0.004215789473684213,Experts
1095000,0.008394736842105267,Experts
1095000,0.0070631578947368484,Experts
1095000,0.0066684210526315795,Experts
1095000,0.004200000000000001,Experts
1095000,0.007321052631578952,Experts
1095000,0.009268421052631584,Experts
1095000,0.006042105263157898,Experts
1095000,0.004663157894736847,Experts
1095000,0.007626315789473687,Experts
1095000,0.006215789473684215,Experts
1095000,0.005936842105263163,Experts
1095000,0.009063157894736846,Experts
1095000,0.0076789473684210595,Experts
1095000,0.006452631578947376,Experts
1095000,0.006805263157894743,Experts
1095000,0.005547368421052637,Experts
1095000,0.006889473684210532,Experts
1095000,0.014021052631578953,Experts
1095000,0.00617368421052632,Experts
