Number of training steps,Wasserstein distance,Comparison with
1095000,0.011152631578947369,Experts
1095000,0.009431578947368421,Experts
1095000,0.008263157894736846,Experts
1095000,0.005784210526315793,Experts
1095000,0.009631578947368423,Experts
1095000,0.006831578947368427,Experts
1095000,0.007015789473684213,Experts
1095000,0.009947368421052628,Experts
1095000,0.007300000000000006,Experts
1095000,0.006421052631578954,Experts
1095000,0.00609473684210527,New customers
1095000,0.0072315789473684266,Closest expert
1095000,0.009515789473684214,New customers
1095000,0.009063157894736846,Closest expert
1095000,0.009605263157894738,New customers
1095000,0.008584210526315791,Closest expert
1095000,0.01003684210526316,New customers
1095000,0.009963157894736846,Closest expert
1095000,0.006442105263157901,New customers
1095000,0.007005263157894744,Closest expert
1095000,0.0060842105263157935,New customers
1095000,0.006694736842105268,Closest expert
1095000,0.008794736842105265,New customers
1095000,0.008715789473684213,Closest expert
1095000,0.008678947368421057,New customers
1095000,0.008626315789473687,Closest expert
1095000,0.009221052631578946,New customers
1095000,0.00939473684210526,Closest expert
1095000,0.009300000000000001,New customers
1095000,0.008600000000000002,Closest expert
1095000,0.008347368421052638,New customers
1095000,0.006600000000000007,Closest expert
1095000,0.008152631578947366,New customers
1095000,0.010536842105263157,Closest expert
1095000,0.009247368421052636,New customers
1095000,0.00992105263157895,Closest expert
1095000,0.007778947368421053,New customers
1095000,0.010015789473684209,Closest expert
1095000,0.009163157894736849,New customers
1095000,0.007157894736842112,Closest expert
1095000,0.012021052631578944,New customers
1095000,0.011947368421052634,Closest expert
1095000,0.009973684210526313,New customers
1095000,0.00989473684210526,Closest expert
1095000,0.008942105263157895,New customers
1095000,0.008884210526315791,Closest expert
1095000,0.008194736842105269,New customers
1095000,0.007300000000000004,Closest expert
1095000,0.006647368421052638,New customers
1095000,0.006105263157894743,Closest expert
1095000,0.0042315789473684265,New customers
1095000,0.006873684210526323,Closest expert
1095000,0.01002105263157895,New customers
1095000,0.009247368421052636,Closest expert
1095000,0.006621052631578946,New customers
1095000,0.009368421052631578,Closest expert
1095000,0.008863157894736845,New customers
1095000,0.009173684210526318,Closest expert
1095000,0.005715789473684212,New customers
1095000,0.006210526315789477,Closest expert
1095000,0.009057894736842109,New customers
1095000,0.009726315789473687,Closest expert
1095000,0.009236842105263161,New customers
1095000,0.00926842105263158,Closest expert
1095000,0.004810526315789478,New customers
1095000,0.0067842105263157945,Closest expert
1095000,0.009052631578947373,New customers
1095000,0.007800000000000001,Closest expert
1095000,0.006031578947368427,New customers
1095000,0.006963157894736849,Closest expert
1095000,0.008778947368421053,New customers
1095000,0.008142105263157897,Closest expert
1095000,0.007242105263157895,New customers
1095000,0.008947368421052633,Closest expert
1095000,0.008789473684210531,New customers
1095000,0.008815789473684214,Closest expert
1095000,0.008668421052631586,New customers
1095000,0.007505263157894743,Closest expert
1095000,0.009026315789473686,New customers
1095000,0.009763157894736845,Closest expert
1095000,0.007910526315789474,New customers
1095000,0.006447368421052634,Closest expert
1095000,0.005257894736842111,New customers
1095000,0.007115789473684215,Closest expert
1095000,0.005573684210526324,New customers
1095000,0.0063052631578947435,Closest expert
1095000,0.007284210526315785,New customers
1095000,0.009726315789473682,Closest expert
1095000,0.005000000000000004,New customers
1095000,0.005900000000000004,Closest expert
1095000,0.004926315789473689,New customers
1095000,0.005994736842105269,Closest expert
1095000,0.008184210526315789,New customers
1095000,0.00991578947368421,Closest expert
1095000,0.006610526315789475,New customers
1095000,0.006952631578947372,Closest expert
1095000,0.009442105263157897,New customers
1095000,0.007631578947368423,Closest expert
1095000,0.007699999999999996,New customers
1095000,0.01006315789473684,Closest expert
1095000,0.004489473684210532,New customers
1095000,0.006678947368421059,Closest expert
1095000,0.006605263157894741,New customers
1095000,0.00653684210526316,Closest expert
1095000,0.009278947368421057,New customers
1095000,0.00818947368421053,Closest expert
1095000,0.0037736842105263136,New customers
1095000,0.007984210526315792,Closest expert
1095000,0.009789473684210528,New customers
1095000,0.008636842105263162,Closest expert
1095000,0.007158947368421052,Average expert
2190000,0.008426315789473688,Experts
2190000,0.007226315789473688,Experts
2190000,0.006184210526315793,Experts
2190000,0.0038000000000000035,Experts
2190000,0.005610526315789478,Experts
2190000,0.0077000000000000055,Experts
2190000,0.004252631578947371,Experts
2190000,0.006921052631578948,Experts
2190000,0.004336842105263163,Experts
2190000,0.004310526315789478,Experts
2190000,0.0034421052631578987,New customers
2190000,0.004231578947368425,Closest expert
2190000,0.008731578947368422,New customers
2190000,0.006773684210526318,Closest expert
2190000,0.007194736842105268,New customers
2190000,0.007900000000000004,Closest expert
2190000,0.00552105263157895,New customers
2190000,0.0054315789473684244,Closest expert
2190000,0.00410526315789474,New customers
2190000,0.004626315789473688,Closest expert
2190000,0.003594736842105267,New customers
2190000,0.004215789473684215,Closest expert
2190000,0.005473684210526319,New customers
2190000,0.005457894736842108,Closest expert
