Number of training steps,Wasserstein distance,Comparison with
1095000,0.008257894736842108,Experts
1095000,0.00616842105263158,Experts
1095000,0.00537368421052632,Experts
1095000,0.006657894736842109,Experts
1095000,0.007231578947368423,Experts
1095000,0.010789473684210531,Experts
1095000,0.007100000000000002,Experts
1095000,0.007768421052631578,Experts
1095000,0.008205263157894745,Experts
1095000,0.007315789473684216,Experts
1095000,0.007073684210526322,Experts
1095000,0.007047368421052635,Experts
1095000,0.007373684210526317,Experts
1095000,0.00665263157894737,Experts
1095000,0.007447368421052638,Experts
1095000,0.005863157894736847,Experts
1095000,0.006621052631578949,Experts
1095000,0.006842105263157899,Experts
1095000,0.008589473684210525,Experts
1095000,0.006589473684210527,Experts
1095000,0.011852631578947375,Experts
1095000,0.005615789473684209,Experts
1095000,0.005084210526315792,Experts
1095000,0.005615789473684211,Experts
1095000,0.012373684210526323,Experts
1095000,0.009405263157894736,Experts
1095000,0.00871578947368421,Experts
1095000,0.005510526315789474,Experts
1095000,0.011526315789473688,Experts
1095000,0.007926315789473691,Experts
1095000,0.007647368421052634,Experts
1095000,0.007942105263157894,Experts
1095000,0.004915789473684211,Experts
1095000,0.005394736842105266,Experts
1095000,0.00593684210526316,Experts
1095000,0.004984210526315794,Experts
1095000,0.006952631578947372,Experts
1095000,0.008394736842105267,Experts
1095000,0.008178947368421058,Experts
1095000,0.00789473684210527,Experts
1095000,0.006700000000000002,Experts
1095000,0.00563157894736842,Experts
1095000,0.00620526315789474,Experts
1095000,0.011600000000000003,Experts
1095000,0.006047368421052633,Experts
1095000,0.006857894736842107,Experts
1095000,0.007978947368421056,Experts
1095000,0.008178947368421056,Experts
1095000,0.005694736842105262,Experts
1095000,0.006200000000000006,Experts
1095000,0.0074578947368421095,Experts
1095000,0.005994736842105263,Experts
1095000,0.006042105263157897,Experts
1095000,0.00762105263157895,Experts
1095000,0.0059526315789473665,Experts
1095000,0.006505263157894739,Experts
1095000,0.0065789473684210575,Experts
1095000,0.007478947368421056,Experts
1095000,0.0033578947368421044,Experts
1095000,0.00756842105263158,Experts
1095000,0.005568421052631583,Experts
1095000,0.0061473684210526305,Experts
1095000,0.003636842105263158,Experts
1095000,0.007731578947368424,Experts
1095000,0.006568421052631583,Experts
1095000,0.004942105263157897,Experts
1095000,0.0037684210526315806,Experts
1095000,0.006699999999999999,Experts
1095000,0.005236842105263159,Experts
1095000,0.006500000000000004,Experts
1095000,0.00826842105263158,Experts
1095000,0.005984210526315792,Experts
1095000,0.004789473684210532,Experts
1095000,0.00650526315789474,Experts
1095000,0.0045736842105263175,Experts
1095000,0.006221052631578951,Experts
1095000,0.013300000000000005,Experts
1095000,0.006168421052631579,Experts
1095000,0.005131578947368423,Experts
1095000,0.007278947368421052,Experts
1095000,0.015500000000000003,Experts
1095000,0.005673684210526317,Experts
1095000,0.005489473684210528,Experts
1095000,0.005431578947368419,Experts
1095000,0.0056999999999999985,Experts
1095000,0.006605263157894737,Experts
1095000,0.004463157894736841,Experts
1095000,0.007315789473684213,Experts
1095000,0.008194736842105269,Experts
1095000,0.0047105263157894775,Experts
1095000,0.006442105263157898,Experts
1095000,0.0036368421052631566,Experts
1095000,0.008047368421052633,Experts
1095000,0.007184210526315787,Experts
1095000,0.006868421052631579,Experts
1095000,0.004573684210526318,Experts
1095000,0.007347368421052634,Experts
1095000,0.007373684210526317,Experts
1095000,0.013578947368421057,Experts
1095000,0.0077315789473684235,Experts
1095000,0.005010526315789477,New customers
1095000,0.009200000000000003,Closest expert
1095000,0.011478947368421056,New customers
1095000,0.009347368421052632,Closest expert
1095000,0.013278947368421057,New customers
1095000,0.00856842105263158,Closest expert
1095000,0.00564736842105263,New customers
1095000,0.009768421052631579,Closest expert
1095000,0.005057894736842106,New customers
1095000,0.008842105263157896,Closest expert
1095000,0.004168421052631581,New customers
1095000,0.008926315789473685,Closest expert
1095000,0.007900000000000003,New customers
1095000,0.009594736842105265,Closest expert
1095000,0.007526315789473685,New customers
1095000,0.00988947368421053,Closest expert
1095000,0.0074315789473684245,New customers
1095000,0.009184210526315791,Closest expert
1095000,0.0064263157894736845,New customers
1095000,0.008478947368421055,Closest expert
1095000,0.0067894736842105275,New customers
1095000,0.008873684210526318,Closest expert
1095000,0.007594736842105267,New customers
1095000,0.009173684210526317,Closest expert
1095000,0.0068000000000000005,New customers
1095000,0.009826315789473686,Closest expert
1095000,0.006957894736842107,New customers
1095000,0.010389473684210527,Closest expert
1095000,0.005678947368421056,New customers
1095000,0.009157894736842108,Closest expert
1095000,0.014721052631578949,New customers
1095000,0.009010526315789474,Closest expert
1095000,0.005036842105263162,New customers
1095000,0.008721052631578947,Closest expert
1095000,0.006005263157894739,New customers
1095000,0.009126315789473686,Closest expert
1095000,0.0073368421052631624,New customers
1095000,0.009521052631578947,Closest expert
1095000,0.007015789473684208,New customers
1095000,0.008189473684210524,Closest expert
1095000,0.007326315789473686,New customers
1095000,0.00856842105263158,Closest expert
1095000,0.005600000000000001,New customers
1095000,0.008484210526315789,Closest expert
1095000,0.006447368421052634,New customers
1095000,0.008742105263157895,Closest expert
1095000,0.007273684210526313,New customers
1095000,0.00946842105263158,Closest expert
1095000,0.00728947368421053,New customers
1095000,0.009368421052631581,Closest expert
1095000,0.007831578947368426,New customers
1095000,0.008947368421052633,Closest expert
1095000,0.0063105263157894765,New customers
1095000,0.009421052631578948,Closest expert
1095000,0.005236842105263158,New customers
1095000,0.008957894736842106,Closest expert
1095000,0.005631578947368419,New customers
1095000,0.008326315789473685,Closest expert
1095000,0.005878947368421056,New customers
1095000,0.009010526315789474,Closest expert
1095000,0.004731578947368422,New customers
1095000,0.008900000000000002,Closest expert
1095000,0.008400000000000005,New customers
1095000,0.008863157894736844,Closest expert
1095000,0.008042105263157899,New customers
1095000,0.009142105263157896,Closest expert
1095000,0.006057894736842106,New customers
1095000,0.0092,Closest expert
1095000,0.005789473684210525,New customers
1095000,0.009594736842105264,Closest expert
1095000,0.005763157894736845,New customers
1095000,0.008894736842105264,Closest expert
1095000,0.0041210526315789515,New customers
1095000,0.008326315789473685,Closest expert
1095000,0.010052631578947374,New customers
1095000,0.00941578947368421,Closest expert
1095000,0.004894736842105265,New customers
1095000,0.008636842105263158,Closest expert
1095000,0.005831578947368424,New customers
1095000,0.009026315789473684,Closest expert
1095000,0.007621052631578947,New customers
1095000,0.009621052631578949,Closest expert
1095000,0.007273684210526318,New customers
1095000,0.008505263157894738,Closest expert
1095000,0.011973684210526322,New customers
1095000,0.008900000000000002,Closest expert
1095000,0.003021052631578945,New customers
1095000,0.008357894736842106,Closest expert
1095000,0.005273684210526316,New customers
1095000,0.009189473684210529,Closest expert
1095000,0.008515789473684214,New customers
1095000,0.009089473684210527,Closest expert
1095000,0.008431578947368427,New customers
1095000,0.009047368421052632,Closest expert
1095000,0.006978947368421056,New customers
1095000,0.009305263157894738,Closest expert
1095000,0.006031578947368421,New customers
1095000,0.009173684210526317,Closest expert
1095000,0.008542105263157893,New customers
1095000,0.009526315789473685,Closest expert
1095000,0.005170736842105262,Average expert
2190000,0.008605263157894737,Experts
2190000,0.008505263157894738,Experts
2190000,0.008015789473684212,Experts
2190000,0.003857894736842109,Experts
2190000,0.007726315789473687,Experts
2190000,0.00747368421052632,Experts
2190000,0.004505263157894741,Experts
2190000,0.007936842105263155,Experts
2190000,0.006284210526315795,Experts
2190000,0.0037578947368421094,Experts
2190000,0.005552631578947373,Experts
2190000,0.010810526315789475,Experts
2190000,0.009221052631578948,Experts
2190000,0.007826315789473686,Experts
2190000,0.005126315789473691,Experts
2190000,0.003615789473684213,Experts
2190000,0.006489473684210528,Experts
2190000,0.00936842105263158,Experts
2190000,0.007105263157894735,Experts
2190000,0.00856842105263158,Experts
2190000,0.009663157894736846,Experts
2190000,0.004752631578947366,Experts
2190000,0.007131578947368424,Experts
2190000,0.006142105263157896,Experts
2190000,0.0091421052631579,Experts
2190000,0.009231578947368417,Experts
2190000,0.007468421052631577,Experts
2190000,0.0072578947368421055,Experts
2190000,0.00833684210526316,Experts
2190000,0.004457894736842111,Experts
2190000,0.004457894736842108,Experts
2190000,0.007994736842105263,Experts
2190000,0.0054368421052631575,Experts
2190000,0.008500000000000004,Experts
2190000,0.0036105263157894772,Experts
2190000,0.007210526315789476,Experts
2190000,0.008042105263157896,Experts
2190000,0.004863157894736845,Experts
2190000,0.005836842105263164,Experts
2190000,0.0052789473684210575,Experts
2190000,0.008442105263157897,Experts
2190000,0.007278947368421052,Experts
2190000,0.007615789473684213,Experts
2190000,0.008184210526315794,Experts
2190000,0.007273684210526318,Experts
2190000,0.005436842105263158,Experts
2190000,0.00420526315789474,Experts
2190000,0.005173684210526322,Experts
2190000,0.005852631578947366,Experts
2190000,0.0035315789473684247,Experts
2190000,0.004452631578947371,Experts
2190000,0.005194736842105262,Experts
2190000,0.0036947368421052654,Experts
2190000,0.006778947368421055,Experts
2190000,0.0052999999999999966,Experts
2190000,0.004142105263157899,Experts
2190000,0.003736842105263161,Experts
2190000,0.009800000000000001,Experts
2190000,0.0030052631578947357,Experts
2190000,0.008010526315789475,Experts
2190000,0.007800000000000002,Experts
2190000,0.005021052631578945,Experts
2190000,0.0035421052631578933,Experts
2190000,0.0038210526315789507,Experts
2190000,0.009231578947368422,Experts
2190000,0.007021052631578949,Experts
2190000,0.00535263157894737,Experts
2190000,0.008084210526315791,Experts
2190000,0.007578947368421053,Experts
2190000,0.003994736842105266,Experts
2190000,0.009210526315789473,Experts
2190000,0.007594736842105264,Experts
2190000,0.0062842105263157914,Experts
2190000,0.00695263157894737,Experts
2190000,0.006873684210526318,Experts
2190000,0.00850526315789474,Experts
2190000,0.01085263157894737,Experts
2190000,0.006973684210526316,Experts
2190000,0.005652631578947368,Experts
2190000,0.004663157894736841,Experts
2190000,0.011868421052631582,Experts
2190000,0.006315789473684211,Experts
2190000,0.007768421052631581,Experts
2190000,0.005405263157894734,Experts
2190000,0.004194736842105261,Experts
2190000,0.00725263157894737,Experts
2190000,0.00303157894736842,Experts
2190000,0.00556842105263158,Experts
2190000,0.005657894736842109,Experts
2190000,0.0078,Experts
2190000,0.00827368421052632,Experts
2190000,0.004168421052631578,Experts
2190000,0.007278947368421053,Experts
2190000,0.006515789473684209,Experts
2190000,0.007442105263157896,Experts
2190000,0.006736842105263163,Experts
2190000,0.006584210526315791,Experts
2190000,0.0075,Experts
2190000,0.010336842105263162,Experts
2190000,0.0034789473684210545,Experts
2190000,0.007142105263157897,New customers
2190000,0.009805263157894737,Closest expert
2190000,0.009500000000000001,New customers
2190000,0.009978947368421054,Closest expert
2190000,0.010221052631578952,New customers
2190000,0.0097,Closest expert
2190000,0.003899999999999998,New customers
2190000,0.0091,Closest expert
2190000,0.006047368421052631,New customers
2190000,0.009736842105263158,Closest expert
2190000,0.0057631578947368416,New customers
2190000,0.009205263157894735,Closest expert
2190000,0.008268421052631578,New customers
2190000,0.009105263157894738,Closest expert
2190000,0.0066789473684210525,New customers
2190000,0.009236842105263158,Closest expert
2190000,0.010257894736842106,New customers
2190000,0.009957894736842105,Closest expert
2190000,0.005968421052631578,New customers
2190000,0.00925263157894737,Closest expert
2190000,0.00583157894736842,New customers
2190000,0.009263157894736843,Closest expert
2190000,0.006421052631578952,New customers
2190000,0.009915789473684211,Closest expert
2190000,0.0053263157894736825,New customers
2190000,0.00878421052631579,Closest expert
2190000,0.00788421052631579,New customers
2190000,0.009347368421052632,Closest expert
2190000,0.008015789473684212,New customers
2190000,0.00985263157894737,Closest expert
2190000,0.01205263157894737,New customers
2190000,0.008478947368421053,Closest expert
2190000,0.007926315789473684,New customers
2190000,0.009089473684210526,Closest expert
2190000,0.003947368421052632,New customers
2190000,0.00916842105263158,Closest expert
2190000,0.005000000000000005,New customers
2190000,0.010063157894736843,Closest expert
2190000,0.00881578947368421,New customers
2190000,0.010352631578947367,Closest expert
2190000,0.006573684210526318,New customers
2190000,0.009631578947368422,Closest expert
2190000,0.006773684210526315,New customers
