Number of training steps,Wasserstein distance,Comparison with
1095000,0.008742105263157891,Experts
1095000,0.006047368421052636,Experts
1095000,0.008236842105263164,Experts
1095000,0.00679473684210527,Experts
1095000,0.005978947368421058,Experts
1095000,0.010368421052631582,Experts
1095000,0.0065684210526315845,Experts
1095000,0.007726315789473684,Experts
1095000,0.009836842105263165,Experts
1095000,0.007557894736842111,Experts
1095000,0.008605263157894743,Experts
1095000,0.010136842105263163,Experts
1095000,0.0069315789473684206,Experts
1095000,0.00708947368421053,Experts
1095000,0.007300000000000005,Experts
1095000,0.005584210526315796,Experts
1095000,0.007405263157894743,Experts
1095000,0.0064789473684210555,Experts
1095000,0.006500000000000002,Experts
1095000,0.006789473684210529,Experts
1095000,0.011578947368421057,Experts
1095000,0.005499999999999996,Experts
1095000,0.0056526315789473735,Experts
1095000,0.007057894736842102,Experts
1095000,0.012800000000000008,Experts
1095000,0.009600000000000003,Experts
1095000,0.00798421052631579,Experts
1095000,0.006552631578947367,Experts
1095000,0.01160526315789474,Experts
1095000,0.007315789473684218,Experts
1095000,0.007884210526315792,Experts
1095000,0.007057894736842107,Experts
1095000,0.005036842105263157,Experts
1095000,0.007557894736842111,Experts
1095000,0.004626315789473689,Experts
1095000,0.005863157894736847,Experts
1095000,0.006900000000000003,Experts
1095000,0.008126315789473692,Experts
1095000,0.008357894736842111,Experts
1095000,0.008484210526315795,Experts
1095000,0.00698947368421053,Experts
1095000,0.0038894736842105277,Experts
1095000,0.0057210526315789505,Experts
1095000,0.01217894736842106,Experts
1095000,0.005763157894736847,Experts
1095000,0.007078947368421053,Experts
1095000,0.008694736842105269,Experts
1095000,0.008968421052631587,Experts
1095000,0.004010526315789473,Experts
1095000,0.005647368421052637,Experts
1095000,0.006800000000000006,Experts
1095000,0.005878947368421052,Experts
1095000,0.005389473684210531,Experts
1095000,0.007863157894736848,Experts
1095000,0.0048947368421052625,Experts
1095000,0.0072052631578947415,Experts
1095000,0.005800000000000006,Experts
1095000,0.009663157894736846,Experts
1095000,0.0026526315789473687,Experts
1095000,0.007200000000000003,Experts
1095000,0.004873684210526317,Experts
1095000,0.005321052631578947,Experts
1095000,0.003252631578947369,Experts
1095000,0.00782105263157895,Experts
1095000,0.005631578947368422,Experts
1095000,0.004810526315789473,Experts
1095000,0.0030631578947368445,Experts
1095000,0.006978947368421051,Experts
1095000,0.005826315789473685,Experts
1095000,0.006705263157894742,Experts
1095000,0.008889473684210527,Experts
1095000,0.004910526315789479,Experts
1095000,0.004026315789473687,Experts
1095000,0.006626315789473687,Experts
1095000,0.00525789473684211,Experts
1095000,0.006657894736842109,Experts
1095000,0.014136842105263165,Experts
1095000,0.006478947368421054,Experts
1095000,0.0045894736842105295,Experts
1095000,0.006947368421052628,Experts
1095000,0.01657368421052632,Experts
1095000,0.00566315789473684,Experts
1095000,0.005226315789473688,Experts
1095000,0.005994736842105263,Experts
1095000,0.004421052631578945,Experts
1095000,0.006489473684210528,Experts
1095000,0.0035421052631578968,Experts
1095000,0.007157894736842107,Experts
1095000,0.007273684210526324,Experts
1095000,0.005284210526315792,Experts
1095000,0.005842105263157896,Experts
1095000,0.0036789473684210564,Experts
1095000,0.007721052631578948,Experts
1095000,0.006905263157894737,Experts
1095000,0.006426315789473687,Experts
1095000,0.0049368421052631605,Experts
1095000,0.007405263157894739,Experts
1095000,0.006963157894736843,Experts
1095000,0.014752631578947373,Experts
1095000,0.007173684210526318,Experts
1095000,0.0053368421052631615,New customers
1095000,0.009484210526315791,Closest expert
1095000,0.012000000000000004,New customers
1095000,0.008589473684210525,Closest expert
1095000,0.013242105263157899,New customers
1095000,0.009110526315789475,Closest expert
1095000,0.004842105263157893,New customers
1095000,0.008963157894736843,Closest expert
1095000,0.00448421052631579,New customers
1095000,0.008615789473684212,Closest expert
1095000,0.0037000000000000045,New customers
1095000,0.008300000000000004,Closest expert
1095000,0.00725263157894737,New customers
1095000,0.008815789473684211,Closest expert
