Number of training steps,Wasserstein distance,Comparison with
1095000,0.010521052631578954,Experts
1095000,0.008015789473684216,Experts
1095000,0.008936842105263165,Experts
1095000,0.006684210526315797,Experts
1095000,0.007589473684210532,Experts
1095000,0.009157894736842111,Experts
1095000,0.005705263157894743,Experts
1095000,0.00872105263157895,Experts
1095000,0.007157894736842113,Experts
1095000,0.005278947368421059,Experts
1095000,0.006757894736842113,New customers
1095000,0.007684210526315798,Closest expert
1095000,0.010394736842105269,New customers
1095000,0.008436842105263164,Closest expert
1095000,0.008731578947368425,New customers
1095000,0.007815789473684215,Closest expert
1095000,0.007873684210526321,New customers
1095000,0.007710526315789479,Closest expert
1095000,0.006015789473684218,New customers
1095000,0.00667894736842106,Closest expert
1095000,0.006442105263157902,New customers
1095000,0.006989473684210534,Closest expert
1095000,0.006968421052631585,New customers
1095000,0.006878947368421057,Closest expert
1095000,0.010031578947368426,New customers
1095000,0.008752631578947375,Closest expert
1095000,0.008721052631578952,New customers
1095000,0.008457894736842109,Closest expert
1095000,0.008663157894736848,New customers
1095000,0.008168421052631587,Closest expert
1095000,0.010500000000000008,New customers
1095000,0.00875789473684211,Closest expert
1095000,0.005378947368421054,New customers
1095000,0.007921052631578948,Closest expert
1095000,0.007563157894736847,New customers
1095000,0.008247368421052635,Closest expert
1095000,0.006821052631578954,New customers
1095000,0.008594736842105266,Closest expert
1095000,0.010731578947368427,New customers
1095000,0.008789473684210533,Closest expert
1095000,0.009984210526315793,New customers
1095000,0.00979473684210527,Closest expert
1095000,0.0090421052631579,New customers
1095000,0.008805263157894741,Closest expert
1095000,0.006789473684210532,New customers
1095000,0.007142105263157901,Closest expert
1095000,0.00931052631578948,New customers
1095000,0.008415789473684217,Closest expert
1095000,0.006373684210526325,New customers
1095000,0.005794736842105271,Closest expert
1095000,0.006836842105263164,New customers
1095000,0.009426315789473692,Closest expert
1095000,0.007810526315789478,New customers
1095000,0.0074000000000000055,Closest expert
1095000,0.006836842105263163,New customers
1095000,0.009231578947368426,Closest expert
1095000,0.007078947368421057,New customers
1095000,0.007205263157894741,Closest expert
1095000,0.005526315789473691,New customers
1095000,0.00684736842105264,Closest expert
1095000,0.007768421052631584,New customers
1095000,0.008542105263157898,Closest expert
1095000,0.0073631578947368475,New customers
1095000,0.007247368421052636,Closest expert
1095000,0.006063157894736849,New customers
1095000,0.006878947368421061,Closest expert
1095000,0.007331578947368428,New customers
1095000,0.005894736842105269,Closest expert
1095000,0.006389473684210533,New customers
1095000,0.007173684210526322,Closest expert
1095000,0.008547368421052635,New customers
1095000,0.00778947368421053,Closest expert
1095000,0.005547368421052636,New customers
1095000,0.007526315789473691,Closest expert
1095000,0.007673684210526324,New customers
1095000,0.00789473684210527,Closest expert
1095000,0.010221052631578954,New customers
1095000,0.009057894736842112,Closest expert
1095000,0.007400000000000007,New customers
1095000,0.008210526315789479,Closest expert
1095000,0.00762631578947369,New customers
1095000,0.006784210526315798,Closest expert
1095000,0.006252631578947375,New customers
1095000,0.0072000000000000085,Closest expert
1095000,0.006068421052631586,New customers
1095000,0.006721052631578954,Closest expert
1095000,0.0059473684210526335,New customers
1095000,0.008147368421052634,Closest expert
1095000,0.005063157894736849,New customers
1095000,0.006000000000000008,Closest expert
1095000,0.006568421052631585,New customers
