Number of training steps,Wasserstein distance,Comparison with
1095000,0.009531578947368426,Experts
1095000,0.0075315789473684265,Experts
1095000,0.008768421052631585,Experts
1095000,0.006315789473684218,Experts
1095000,0.006973684210526321,Experts
1095000,0.010631578947368426,Experts
1095000,0.0067421052631579026,Experts
1095000,0.00846315789473684,Experts
1095000,0.009215789473684219,Experts
1095000,0.007031578947368429,Experts
1095000,0.007857894736842112,New customers
1095000,0.008721052631578956,Closest expert
1095000,0.011100000000000004,New customers
1095000,0.0091421052631579,Closest expert
1095000,0.008252631578947373,New customers
1095000,0.008389473684210532,Closest expert
1095000,0.006978947368421056,New customers
1095000,0.0068789473684210565,Closest expert
1095000,0.008689473684210533,New customers
1095000,0.009368421052631587,Closest expert
1095000,0.006163157894736849,New customers
1095000,0.0066684210526315865,Closest expert
1095000,0.007278947368421056,New customers
1095000,0.007373684210526319,Closest expert
1095000,0.009368421052631583,New customers
1095000,0.008015789473684214,Closest expert
1095000,0.008278947368421054,New customers
1095000,0.008089473684210527,Closest expert
1095000,0.007331578947368424,New customers
1095000,0.007442105263157899,Closest expert
1095000,0.013000000000000005,New customers
1095000,0.011268421052631584,Closest expert
1095000,0.0058842105263157895,New customers
1095000,0.00808421052631579,Closest expert
1095000,0.007200000000000007,New customers
1095000,0.008100000000000007,Closest expert
1095000,0.005905263157894741,New customers
1095000,0.007531578947368422,Closest expert
1095000,0.012921052631578951,New customers
1095000,0.010989473684210532,Closest expert
1095000,0.009236842105263161,New customers
1095000,0.008978947368421057,Closest expert
1095000,0.009121052631578948,New customers
1095000,0.008594736842105264,Closest expert
1095000,0.006494736842105266,New customers
1095000,0.006678947368421056,Closest expert
1095000,0.011857894736842112,New customers
1095000,0.010963157894736848,Closest expert
1095000,0.007200000000000008,New customers
1095000,0.006605263157894744,Closest expert
1095000,0.007436842105263162,New customers
1095000,0.010026315789473689,Closest expert
1095000,0.007394736842105266,New customers
1095000,0.006615789473684215,Closest expert
1095000,0.005178947368421055,New customers
1095000,0.007410526315789473,Closest expert
1095000,0.008078947368421057,New customers
1095000,0.008231578947368425,Closest expert
1095000,0.00529473684210527,New customers
1095000,0.006905263157894744,Closest expert
