Number of training steps,Wasserstein distance,Comparison with
1095000,0.009421052631578952,Experts
1095000,0.00670526315789474,Experts
1095000,0.007789473684210531,Experts
1095000,0.006126315789473691,Experts
1095000,0.006884210526315795,Experts
1095000,0.010594736842105268,Experts
1095000,0.006157894736842111,Experts
1095000,0.007652631578947369,Experts
1095000,0.009368421052631587,Experts
1095000,0.0067526315789473755,Experts
1095000,0.008568421052631586,Experts
1095000,0.010263157894736846,Experts
1095000,0.007531578947368424,Experts
1095000,0.007000000000000004,Experts
1095000,0.00846315789473685,Experts
1095000,0.005900000000000005,Experts
1095000,0.0068052631578947404,Experts
1095000,0.008578947368421058,Experts
1095000,0.007400000000000002,Experts
1095000,0.00708947368421053,Experts
1095000,0.012768421052631583,Experts
1095000,0.004226315789473686,Experts
1095000,0.004805263157894741,Experts
1095000,0.005994736842105266,Experts
1095000,0.01272631578947369,Experts
1095000,0.009289473684210528,Experts
1095000,0.0073684210526315805,Experts
1095000,0.006678947368421057,Experts
1095000,0.01152631578947369,Experts
1095000,0.008089473684210534,Experts
1095000,0.008410526315789478,Experts
1095000,0.007136842105263162,Experts
1095000,0.005084210526315793,Experts
1095000,0.007273684210526319,Experts
1095000,0.004936842105263164,Experts
1095000,0.005963157894736846,Experts
1095000,0.006326315789473689,Experts
1095000,0.008868421052631584,Experts
1095000,0.00792631578947369,Experts
1095000,0.007873684210526323,Experts
1095000,0.008300000000000005,Experts
1095000,0.004800000000000004,Experts
1095000,0.007121052631578955,Experts
1095000,0.011710526315789479,Experts
1095000,0.006036842105263162,Experts
1095000,0.005873684210526322,Experts
1095000,0.00827894736842106,Experts
1095000,0.007831578947368427,Experts
1095000,0.0045947368421052626,Experts
1095000,0.005836842105263163,Experts
1095000,0.007873684210526323,Experts
1095000,0.006094736842105265,Experts
1095000,0.006189473684210532,Experts
1095000,0.007605263157894743,Experts
1095000,0.005036842105263157,Experts
1095000,0.007473684210526321,Experts
1095000,0.006200000000000006,Experts
1095000,0.010447368421052636,Experts
1095000,0.0029842105263157897,Experts
1095000,0.007747368421052635,Experts
1095000,0.006094736842105267,Experts
1095000,0.00493684210526316,Experts
1095000,0.003194736842105267,Experts
1095000,0.007763157894736847,Experts
1095000,0.009015789473684215,Experts
1095000,0.005147368421052636,Experts
1095000,0.0036263157894736884,Experts
1095000,0.006568421052631582,Experts
1095000,0.005900000000000004,Experts
1095000,0.005715789473684216,Experts
1095000,0.007857894736842107,Experts
1095000,0.006368421052631584,Experts
1095000,0.006073684210526323,Experts
1095000,0.005500000000000005,Experts
1095000,0.005500000000000004,Experts
1095000,0.006900000000000005,Experts
1095000,0.014242105263157898,Experts
1095000,0.0060000000000000045,Experts
1095000,0.0042631578947368454,Experts
1095000,0.005942105263157898,Experts
1095000,0.015700000000000006,Experts
1095000,0.004821052631578952,Experts
1095000,0.0057473684210526356,Experts
1095000,0.005642105263157896,Experts
1095000,0.0047157894736842105,Experts
1095000,0.006868421052631583,Experts
1095000,0.003989473684210528,Experts
1095000,0.007031578947368426,Experts
1095000,0.007521052631578956,Experts
1095000,0.007210526315789477,Experts
1095000,0.006600000000000004,Experts
1095000,0.003326315789473686,Experts
1095000,0.007731578947368424,Experts
1095000,0.006121052631578949,Experts
1095000,0.0064421052631578974,Experts
1095000,0.00551052631578948,Experts
1095000,0.0072157894736842145,Experts
1095000,0.007005263157894742,Experts
1095000,0.01395789473684211,Experts
1095000,0.008031578947368426,Experts
1095000,0.00491052631578948,New customers
1095000,0.007978947368421056,Closest expert
1095000,0.012005263157894743,New customers
1095000,0.009284210526315792,Closest expert
1095000,0.012942105263157899,New customers
1095000,0.0074789473684210555,Closest expert
1095000,0.004489473684210526,New customers
1095000,0.008647368421052634,Closest expert
1095000,0.005173684210526317,New customers
1095000,0.009257894736842109,Closest expert
1095000,0.003726315789473688,New customers
1095000,0.008394736842105266,Closest expert
1095000,0.007221052631578951,New customers
1095000,0.008742105263157897,Closest expert
1095000,0.006031578947368424,New customers
1095000,0.008615789473684216,Closest expert
1095000,0.009668421052631581,New customers
1095000,0.008636842105263162,Closest expert
1095000,0.0059631578947368456,New customers
1095000,0.008142105263157898,Closest expert
1095000,0.005184210526315793,New customers
1095000,0.008047368421052635,Closest expert
1095000,0.006805263157894744,New customers
1095000,0.008384210526315794,Closest expert
1095000,0.004684210526315792,New customers
1095000,0.008342105263157897,Closest expert
1095000,0.00657894736842106,New customers
1095000,0.008978947368421055,Closest expert
1095000,0.006152631578947372,New customers
1095000,0.008878947368421054,Closest expert
1095000,0.016094736842105266,New customers
1095000,0.00865789473684211,Closest expert
1095000,0.007552631578947372,New customers
1095000,0.008500000000000002,Closest expert
1095000,0.005631578947368425,New customers
1095000,0.009289473684210531,Closest expert
1095000,0.006710526315789479,New customers
1095000,0.008300000000000004,Closest expert
1095000,0.006784210526315791,New customers
1095000,0.008247368421052635,Closest expert
1095000,0.007189473684210531,New customers
1095000,0.009463157894736845,Closest expert
1095000,0.005342105263157898,New customers
1095000,0.008247368421052635,Closest expert
1095000,0.006426315789473688,New customers
1095000,0.008700000000000005,Closest expert
1095000,0.006473684210526316,New customers
1095000,0.009231578947368424,Closest expert
1095000,0.005826315789473689,New customers
1095000,0.008068421052631584,Closest expert
1095000,0.008110526315789478,New customers
1095000,0.00893684210526316,Closest expert
1095000,0.008389473684210532,New customers
1095000,0.008526315789473687,Closest expert
1095000,0.005189473684210527,New customers
1095000,0.009273684210526318,Closest expert
1095000,0.0048736842105263165,New customers
1095000,0.007584210526315791,Closest expert
1095000,0.005705263157894741,New customers
1095000,0.008447368421052634,Closest expert
1095000,0.004694736842105266,New customers
1095000,0.008889473684210529,Closest expert
1095000,0.008189473684210533,New customers
1095000,0.008684210526315793,Closest expert
1095000,0.008689473684210533,New customers
1095000,0.01017368421052632,Closest expert
1095000,0.004426315789473688,New customers
1095000,0.008142105263157898,Closest expert
1095000,0.004447368421052633,New customers
1095000,0.008410526315789478,Closest expert
1095000,0.0071000000000000065,New customers
1095000,0.00885263157894737,Closest expert
1095000,0.006136842105263164,New customers
1095000,0.00902105263157895,Closest expert
1095000,0.009957894736842112,New customers
1095000,0.008621052631578953,Closest expert
1095000,0.005536842105263163,New customers
1095000,0.008263157894736846,Closest expert
1095000,0.006678947368421059,New customers
1095000,0.008842105263157898,Closest expert
1095000,0.006852631578947371,New customers
1095000,0.008605263157894739,Closest expert
1095000,0.0075421052631578995,New customers
1095000,0.009052631578947373,Closest expert
1095000,0.011952631578947374,New customers
1095000,0.009121052631578952,Closest expert
1095000,0.0034000000000000002,New customers
1095000,0.00912105263157895,Closest expert
1095000,0.004663157894736844,New customers
1095000,0.008336842105263162,Closest expert
1095000,0.010778947368421058,New customers
1095000,0.008921052631578951,Closest expert
1095000,0.008905263157894744,New customers
1095000,0.009257894736842109,Closest expert
1095000,0.007873684210526321,New customers
1095000,0.007978947368421056,Closest expert
1095000,0.005231578947368421,New customers
1095000,0.009284210526315792,Closest expert
1095000,0.0071526315789473705,New customers
1095000,0.007894736842105267,Closest expert
1095000,0.0046368947368421055,Average expert
2190000,0.00922631578947368,Experts
2190000,0.008873684210526313,Experts
2190000,0.008857894736842105,Experts
2190000,0.002626315789473685,Experts
2190000,0.008668421052631577,Experts
2190000,0.00423684210526316,Experts
2190000,0.0031526315789473683,Experts
2190000,0.00816315789473684,Experts
2190000,0.003226315789473686,Experts
2190000,0.002715789473684212,Experts
2190000,0.0020368421052631602,Experts
2190000,0.010168421052631577,Experts
2190000,0.009363157894736837,Experts
2190000,0.008436842105263154,Experts
2190000,0.002305263157894739,Experts
2190000,0.002526315789473683,Experts
2190000,0.007931578947368418,Experts
2190000,0.008584210526315788,Experts
2190000,0.007178947368421049,Experts
2190000,0.009099999999999997,Experts
2190000,0.005636842105263161,Experts
2190000,0.006505263157894736,Experts
2190000,0.008599999999999998,Experts
2190000,0.00491052631578947,Experts
2190000,0.006747368421052634,Experts
2190000,0.009163157894736837,Experts
2190000,0.007099999999999996,Experts
2190000,0.008152631578947366,Experts
2190000,0.00538421052631579,Experts
2190000,0.0023631578947368435,Experts
2190000,0.0020421052631578954,Experts
2190000,0.00914736842105263,Experts
2190000,0.005484210526315788,Experts
2190000,0.00874736842105263,Experts
2190000,0.0032421052631578934,Experts
2190000,0.00891578947368421,Experts
