Number of training steps,Wasserstein distance,Comparison with
1095000,0.00943684210526316,Experts
1095000,0.0065894736842105305,Experts
1095000,0.006200000000000004,Experts
1095000,0.006836842105263164,Experts
1095000,0.007605263157894738,Experts
1095000,0.010515789473684214,Experts
1095000,0.007815789473684215,Experts
1095000,0.00880526315789474,Experts
1095000,0.00856315789473685,Experts
1095000,0.007678947368421059,Experts
1095000,0.007321052631578955,Experts
1095000,0.007763157894736845,Experts
1095000,0.007836842105263158,Experts
1095000,0.007847368421052634,Experts
1095000,0.007631578947368427,Experts
1095000,0.006494736842105266,Experts
1095000,0.007842105263157897,Experts
1095000,0.007894736842105269,Experts
1095000,0.008668421052631579,Experts
1095000,0.007763157894736842,Experts
1095000,0.012184210526315794,Experts
1095000,0.0060631578947368415,Experts
1095000,0.005842105263157897,Experts
1095000,0.007052631578947373,Experts
1095000,0.013447368421052638,Experts
1095000,0.010968421052631577,Experts
1095000,0.008947368421052631,Experts
1095000,0.007863157894736843,Experts
1095000,0.010615789473684216,Experts
1095000,0.0071473684210526375,Experts
1095000,0.007278947368421056,Experts
1095000,0.008047368421052636,Experts
1095000,0.006910526315789476,Experts
1095000,0.006552631578947372,Experts
1095000,0.005710526315789479,Experts
1095000,0.006078947368421057,Experts
1095000,0.007578947368421055,Experts
1095000,0.007615789473684217,Experts
1095000,0.00784736842105264,Experts
1095000,0.007842105263157902,Experts
1095000,0.00690526315789474,Experts
1095000,0.005426315789473685,Experts
1095000,0.007978947368421056,Experts
1095000,0.01129473684210527,Experts
1095000,0.007657894736842107,Experts
1095000,0.008594736842105268,Experts
1095000,0.007147368421052638,Experts
1095000,0.008384210526315798,Experts
1095000,0.006631578947368422,Experts
1095000,0.005915789473684218,Experts
1095000,0.0077526315789473756,Experts
1095000,0.0075631578947368445,Experts
1095000,0.007331578947368423,Experts
1095000,0.008300000000000005,Experts
1095000,0.006831578947368419,Experts
1095000,0.006805263157894741,Experts
1095000,0.00688947368421053,Experts
1095000,0.007584210526315791,Experts
1095000,0.004042105263157896,Experts
1095000,0.00843684210526316,Experts
1095000,0.005810526315789476,Experts
1095000,0.00628421052631579,Experts
1095000,0.004810526315789473,Experts
1095000,0.007257894736842111,Experts
1095000,0.006805263157894741,Experts
1095000,0.005726315789473686,Experts
1095000,0.0037368421052631595,Experts
1095000,0.007984210526315793,Experts
1095000,0.00646842105263158,Experts
1095000,0.006605263157894742,Experts
1095000,0.009263157894736845,Experts
1095000,0.006047368421052636,Experts
1095000,0.005921052631578956,Experts
1095000,0.00623684210526316,Experts
1095000,0.006342105263157898,Experts
1095000,0.007831578947368424,Experts
1095000,0.013136842105263162,Experts
1095000,0.007968421052631578,Experts
