Number of training steps,Wasserstein distance,Comparison with
1095000,0.010736842105263163,Experts
1095000,0.00844736842105264,Experts
1095000,0.007952631578947374,Experts
1095000,0.007131578947368428,Experts
1095000,0.00861052631578948,Experts
1095000,0.009200000000000009,Experts
1095000,0.007289473684210535,Experts
1095000,0.00960526315789474,Experts
1095000,0.00874736842105264,Experts
1095000,0.007626315789473692,Experts
1095000,0.007852631578947378,New customers
1095000,0.008742105263157903,Closest expert
1095000,0.0105421052631579,New customers
1095000,0.008694736842105269,Closest expert
1095000,0.00918947368421053,New customers
1095000,0.007821052631578953,Closest expert
1095000,0.00861052631578948,New customers
1095000,0.008815789473684218,Closest expert
1095000,0.008384210526315798,New customers
1095000,0.009100000000000009,Closest expert
1095000,0.006489473684210534,New customers
1095000,0.007105263157894746,Closest expert
1095000,0.008568421052631585,New customers
1095000,0.008647368421052638,Closest expert
1095000,0.009394736842105272,New customers
1095000,0.008136842105263165,Closest expert
1095000,0.009073684210526319,New customers
1095000,0.009236842105263161,Closest expert
1095000,0.009478947368421059,New customers
1095000,0.009352631578947375,Closest expert
1095000,0.011089473684210536,New customers
1095000,0.009357894736842112,Closest expert
1095000,0.007073684210526319,New customers
1095000,0.009273684210526318,Closest expert
1095000,0.0074157894736842185,New customers
1095000,0.008173684210526324,Closest expert
1095000,0.007636842105263162,New customers
1095000,0.009526315789473687,Closest expert
1095000,0.011126315789473692,New customers
1095000,0.009184210526315798,Closest expert
1095000,0.012194736842105265,New customers
1095000,0.012105263157894742,Closest expert
1095000,0.009194736842105268,New customers
1095000,0.008736842105263161,Closest expert
1095000,0.008257894736842112,New customers
1095000,0.009084210526315797,Closest expert
1095000,0.010600000000000009,New customers
1095000,0.009705263157894745,Closest expert
1095000,0.008584210526315798,New customers
1095000,0.008000000000000009,Closest expert
1095000,0.006800000000000006,New customers
1095000,0.009389473684210534,Closest expert
1095000,0.009015789473684218,New customers
1095000,0.008915789473684217,Closest expert
1095000,0.006852631578947374,New customers
1095000,0.009263157894736846,Closest expert
1095000,0.008321052631578955,New customers
1095000,0.008442105263157904,Closest expert
1095000,0.005905263157894743,New customers
1095000,0.00643157894736843,Closest expert
1095000,0.007426315789473692,New customers
1095000,0.00816315789473685,Closest expert
1095000,0.008373684210526325,New customers
1095000,0.008984210526315798,Closest expert
1095000,0.00881578947368422,New customers
1095000,0.009363157894736853,Closest expert
1095000,0.00850000000000001,New customers
1095000,0.007152631578947377,Closest expert
1095000,0.007757894736842115,New customers
1095000,0.008542105263157905,Closest expert
1095000,0.008484210526315795,New customers
1095000,0.007778947368421059,Closest expert
1095000,0.007415789473684217,New customers
1095000,0.009352631578947375,Closest expert
1095000,0.008784210526315797,New customers
1095000,0.009352631578947375,Closest expert
1095000,0.010973684210526323,New customers
1095000,0.009810526315789483,Closest expert
1095000,0.007715789473684217,New customers
1095000,0.00859473684210527,Closest expert
1095000,0.008063157894736848,New customers
1095000,0.0068157894736842195,Closest expert
1095000,0.008184210526315797,New customers
1095000,0.009005263157894745,Closest expert
1095000,0.008042105263157904,New customers
1095000,0.008710526315789485,Closest expert
