steps	episodes	average_discriminator_loss	average_D_output	average_mod_rewards	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates
1095000	1000	-0.5680023044943809	-0.8713876391295343	nan	-0.8713876603765695	-0.68341005	0.50205517	0.09901807695627213	0.009550048934179357	150000
2190000	2000	-0.5490248525440693	-0.9003105920972303	nan	-0.9003106019279821	-0.8539272	0.47436598	0.09439195293933153	-0.008928250706521795	300000
3285000	3000	-0.6789147097766399	-0.8986742699922373	nan	-0.8986742743291352	-1.0039387	0.51443434	0.07001989714801311	-0.0017982363972987513	450000
4380000	4000	-0.37309909422695636	-0.9187842170731164	nan	-0.9187842198416161	-1.4936693	0.5139639	0.07047749273478984	0.0015490363840945066	600000
5475000	5000	-0.23815557643026114	-0.9078321672119201	nan	-0.9078321690455682	-1.5759056	0.47738138	0.07033345013856888	0.011861150014447049	750000
6570000	6000	-0.21964046277850865	-0.8880196054838598	nan	-0.8880196086969037	-0.74097157	0.48514488	0.06376864351332187	-0.015566458064131438	900000
7665000	7000	-0.28904310505092146	-0.8584945635045214	nan	-0.8584945662126118	-0.4711518	0.50883853	0.07791356723755598	0.0004829991050064564	1050000
8760000	8000	-0.19388601361960173	-0.8287270242522936	nan	-0.8287270261796189	-0.22169183	0.5006487	0.059225563071668146	-0.001239701333688572	1200000
9855000	9000	-0.2450905618146062	-0.7942009916560103	nan	-0.7942009930154766	-0.8356442	0.520157	0.06579302184283733	-0.0035874254198279233	1350000
10950000	10000	-0.2898039308935404	-0.7569985598372295	nan	-0.7569985612826536	-0.3466474	0.51604867	0.06908801738172769	0.0019197713088942691	1500000
