steps	episodes	average_discriminator_loss	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates
1095000	1000	2.45795492708683	-0.6879363141581416	-49.19272	0.419611	27.411261763572693	-0.018778269685572013	150000
2190000	2000	2.5304954329133036	-0.6566959971748293	-43.76387	0.47947413	24.433033533096314	-0.016960297949262893	300000
3285000	3000	2.554423765540123	-0.6447450748458504	-48.15502	0.5018541	21.96436170578003	-0.026033129449933766	450000
4380000	4000	2.5694633992016316	-0.6345773048233241	-51.461	0.42584142	27.434033756256103	-0.016523747565224768	600000
5475000	5000	2.5784731971025465	-0.6244678014144301	-49.277275	0.42187637	26.35569809913635	-0.008754481548676267	750000
6570000	6000	2.5881374646226565	-0.6163689822144807	-40.387714	0.43402293	18.895798518657685	-0.0035533854982350024	900000
7665000	7000	2.5980249272925513	-0.6136933532091123	-41.106434	0.42854267	20.032548389434815	-0.007405389090563403	1050000
8760000	8000	2.6057263163477185	-0.6117966542905197	-47.867657	0.5044724	24.83402352333069	-0.013794541085371748	1200000
9855000	9000	2.6129667579465443	-0.6090888624183006	-48.42013	0.4355903	27.849334049224854	-0.014807069188682362	1350000
10950000	10000	2.6199123309254646	-0.6063991433791817	-49.08891	0.47692573	21.807769165039062	0.004331993322120979	1500000
12045000	11000	2.643694407463074	-0.5953422567248344	-45.467773	0.4591934	23.5524382686615	-0.018265955697279422	1650000
13140000	12000	2.6528202698230743	-0.5915164960324765	-47.957436	0.49306756	23.852476243972777	-0.0038437877089018	1800000
14235000	13000	2.6637895822525026	-0.5880340587496757	-51.309975	0.46142817	26.548855962753297	-0.002748911534436047	1950000
15330000	14000	2.6744944677352906	-0.5855701822638512	-49.55615	0.46549132	24.791529245376587	-0.00026110183680430057	2100000
16425000	15000	2.685940074920654	-0.584284723162651	-49.604195	0.46285883	22.44268964767456	-0.0032682368950918317	2250000
17520000	16000	2.696228180885315	-0.582779258698225	-50.818203	0.44343615	22.499019134044648	-0.010454882581252605	2400000
18615000	17000	2.705104634284973	-0.5792202868759632	-51.1376	0.47231475	22.535719754695894	-0.004187574603129178	2550000
19710000	18000	2.714267300128937	-0.5748910576105117	-49.999172	0.4655378	21.593633460998536	-0.009827971864724531	2700000
20805000	19000	2.7226901497840883	-0.571504443615675	-50.337246	0.45696	19.258090871572495	0.0064419916179031134	2850000
21900000	20000	2.7300343532562255	-0.5687908449172974	-50.570595	0.4602087	22.08992713212967	-0.006320128915831447	3000000
