Number of training steps,Wasserstein distance,Comparison with
1095000,0.010884210526315791,Experts
1095000,0.00777368421052632,Experts
1095000,0.008689473684210532,Experts
1095000,0.0066157894736842155,Experts
1095000,0.008263157894736846,Experts
1095000,0.010000000000000007,Experts
1095000,0.007205263157894747,Experts
1095000,0.00941578947368421,Experts
1095000,0.008642105263157904,Experts
1095000,0.006094736842105272,Experts
1095000,0.007442105263157903,New customers
1095000,0.008315789473684219,Closest expert
1095000,0.009578947368421057,New customers
1095000,0.00765789473684211,Closest expert
1095000,0.009347368421052635,New customers
1095000,0.008452631578947373,Closest expert
1095000,0.009326315789473686,New customers
1095000,0.009094736842105267,Closest expert
1095000,0.007636842105263167,New customers
1095000,0.00839473684210527,Closest expert
1095000,0.005684210526315796,New customers
1095000,0.006315789473684217,Closest expert
1095000,0.008857894736842108,New customers
1095000,0.008778947368421055,Closest expert
1095000,0.008721052631578952,New customers
1095000,0.007400000000000005,Closest expert
1095000,0.009800000000000001,New customers
1095000,0.009863157894736843,Closest expert
1095000,0.00948947368421053,New customers
1095000,0.009152631578947372,Closest expert
1095000,0.010942105263157904,New customers
1095000,0.00921052631578948,Closest expert
1095000,0.007010526315789474,New customers
1095000,0.009184210526315791,Closest expert
1095000,0.008284210526315795,New customers
1095000,0.008921052631578951,Closest expert
1095000,0.00745263157894737,New customers
1095000,0.00941578947368421,Closest expert
1095000,0.011710526315789482,New customers
1095000,0.009784210526315796,Closest expert
1095000,0.010684210526315789,New customers
1095000,0.010589473684210529,Closest expert
1095000,0.009442105263157896,New customers
1095000,0.009278947368421055,Closest expert
1095000,0.008857894736842108,New customers
1095000,0.00880526315789474,Closest expert
1095000,0.011026315789473691,New customers
1095000,0.010131578947368429,Closest expert
1095000,0.006826315789473693,New customers
1095000,0.006336842105263167,Closest expert
1095000,0.007500000000000007,New customers
1095000,0.010089473684210535,Closest expert
1095000,0.008831578947368423,New customers
1095000,0.00820526315789474,Closest expert
1095000,0.007500000000000003,New customers
1095000,0.009789473684210527,Closest expert
1095000,0.00742631578947369,New customers
1095000,0.007768421052631583,Closest expert
1095000,0.006205263157894741,New customers
1095000,0.006678947368421059,Closest expert
1095000,0.007305263157894744,New customers
1095000,0.007910526315789479,Closest expert
1095000,0.008915789473684214,New customers
1095000,0.008952631578947372,Closest expert
1095000,0.007589473684210533,New customers
1095000,0.008189473684210535,Closest expert
1095000,0.008142105263157904,New customers
1095000,0.00703157894736843,Closest expert
1095000,0.008452631578947378,New customers
1095000,0.009273684210526326,Closest expert
1095000,0.008694736842105266,New customers
1095000,0.008068421052631582,Closest expert
1095000,0.007157894736842108,New customers
1095000,0.008726315789473688,Closest expert
1095000,0.008468421052631582,New customers
1095000,0.008436842105263158,Closest expert
1095000,0.011605263157894743,New customers
1095000,0.010442105263157904,Closest expert
1095000,0.008910526315789476,New customers
1095000,0.009778947368421057,Closest expert
1095000,0.007447368421052635,New customers
1095000,0.006131578947368428,Closest expert
1095000,0.007457894736842112,New customers
1095000,0.008121052631578956,Closest expert
1095000,0.009057894736842115,New customers
1095000,0.009757894736842116,Closest expert
1095000,0.007163157894736843,New customers
1095000,0.009484210526315791,Closest expert
1095000,0.004847368421052638,New customers
1095000,0.00567894736842106,Closest expert
1095000,0.006721052631578955,New customers
1095000,0.006263157894736851,Closest expert
1095000,0.0075,New customers
1095000,0.009263157894736843,Closest expert
1095000,0.005642105263157899,New customers
1095000,0.005994736842105269,Closest expert
1095000,0.007194736842105269,New customers
1095000,0.006505263157894745,Closest expert
1095000,0.006131578947368421,New customers
1095000,0.008457894736842107,Closest expert
1095000,0.006142105263157902,New customers
1095000,0.006100000000000008,Closest expert
1095000,0.007000000000000008,New customers
1095000,0.006926315789473693,Closest expert
1095000,0.010157894736842109,New customers
1095000,0.008131578947368425,Closest expert
1095000,0.0049052631578947355,New customers
1095000,0.00912105263157895,Closest expert
1095000,0.010494736842105267,New customers
1095000,0.009431578947368425,Closest expert
1095000,0.006520526315789476,Average expert
2190000,0.009363157894736846,Experts
2190000,0.007221052631578951,Experts
2190000,0.00847368421052632,Experts
2190000,0.00577368421052632,Experts
2190000,0.007426315789473685,Experts
2190000,0.006910526315789478,Experts
2190000,0.004757894736842111,Experts
2190000,0.007357894736842107,Experts
2190000,0.006136842105263164,Experts
2190000,0.004278947368421057,Experts
2190000,0.005942105263157901,New customers
2190000,0.006721052631578953,Closest expert
2190000,0.010921052631578951,New customers
2190000,0.009047368421052636,Closest expert
2190000,0.007221052631578953,New customers
2190000,0.007726315789473689,Closest expert
2190000,0.008031578947368423,New customers
2190000,0.007810526315789475,Closest expert
2190000,0.0059894736842105315,New customers
2190000,0.006605263157894743,Closest expert
2190000,0.0044315789473684235,New customers
2190000,0.005163157894736846,Closest expert
2190000,0.0077315789473684235,New customers
2190000,0.008015789473684212,Closest expert
2190000,0.0096421052631579,New customers
2190000,0.00828947368421053,Closest expert
2190000,0.008184210526315792,New customers
2190000,0.008242105263157896,Closest expert
2190000,0.008726315789473686,New customers
2190000,0.007905263157894738,Closest expert
2190000,0.007815789473684215,New customers
2190000,0.0060421052631579,Closest expert
2190000,0.005700000000000001,New customers
2190000,0.008363157894736841,Closest expert
2190000,0.007189473684210531,New customers
2190000,0.00817368421052632,Closest expert
2190000,0.005421052631578951,New customers
2190000,0.007447368421052632,Closest expert
2190000,0.008915789473684217,New customers
2190000,0.006957894736842111,Closest expert
2190000,0.009094736842105265,New customers
2190000,0.009000000000000005,Closest expert
2190000,0.0072684210526315785,New customers
2190000,0.007484210526315788,Closest expert
2190000,0.008526315789473687,New customers
2190000,0.008426315789473688,Closest expert
2190000,0.007568421052631584,New customers
2190000,0.00667368421052632,Closest expert
2190000,0.005584210526315794,New customers
2190000,0.005021052631578952,Closest expert
2190000,0.0033631578947368457,New customers
2190000,0.005968421052631584,Closest expert
2190000,0.008173684210526319,New customers
2190000,0.007557894736842108,Closest expert
2190000,0.005073684210526315,New customers
2190000,0.007484210526315788,Closest expert
2190000,0.00757368421052632,New customers
2190000,0.007863157894736846,Closest expert
2190000,0.004321052631578949,New customers
2190000,0.004947368421052634,Closest expert
2190000,0.006768421052631584,New customers
2190000,0.008005263157894741,Closest expert
2190000,0.007500000000000002,New customers
2190000,0.007394736842105265,Closest expert
2190000,0.005478947368421057,New customers
2190000,0.0061000000000000065,Closest expert
2190000,0.0069578947368421126,New customers
2190000,0.005526315789473691,Closest expert
2190000,0.006084210526315795,New customers
2190000,0.006868421052631586,Closest expert
2190000,0.009115789473684218,New customers
2190000,0.00847368421052632,Closest expert
2190000,0.006857894736842108,New customers
2190000,0.008168421052631582,Closest expert
2190000,0.007710526315789479,New customers
2190000,0.007363157894736845,Closest expert
2190000,0.007884210526315792,New customers
2190000,0.006621052631578951,Closest expert
2190000,0.006684210526315791,New customers
2190000,0.007305263157894738,Closest expert
2190000,0.006994736842105264,New customers
2190000,0.0055631578947368445,Closest expert
2190000,0.0061421052631579,New customers
2190000,0.0067631578947368485,Closest expert
2190000,0.006005263157894743,New customers
2190000,0.0067157894736842175,Closest expert
2190000,0.005542105263157895,New customers
2190000,0.007947368421052632,Closest expert
2190000,0.003884210526315794,New customers
2190000,0.004978947368421058,Closest expert
2190000,0.004000000000000004,New customers
2190000,0.004489473684210531,Closest expert
2190000,0.006657894736842107,New customers
2190000,0.008715789473684211,Closest expert
2190000,0.005278947368421053,New customers
2190000,0.005710526315789477,Closest expert
2190000,0.007773684210526321,New customers
2190000,0.005978947368421059,Closest expert
2190000,0.005205263157894736,New customers
2190000,0.007647368421052633,Closest expert
2190000,0.003910526315789479,New customers
2190000,0.0056315789473684276,Closest expert
2190000,0.005663157894736843,New customers
2190000,0.005757894736842107,Closest expert
2190000,0.009994736842105268,New customers
2190000,0.007878947368421057,Closest expert
2190000,0.0026789473684210507,New customers
2190000,0.007457894736842107,Closest expert
2190000,0.007910526315789475,New customers
2190000,0.006794736842105265,Closest expert
2190000,0.005174210526315789,Average expert
3285000,0.005994736842105265,Experts
3285000,0.005900000000000002,Experts
3285000,0.008463157894736844,Experts
3285000,0.00594736842105263,Experts
3285000,0.007089473684210528,Experts
3285000,0.0034842105263157884,Experts
3285000,0.003268421052631579,Experts
3285000,0.004710526315789474,Experts
3285000,0.002842105263157897,Experts
3285000,0.0033210526315789472,Experts
3285000,0.002142105263157896,New customers
3285000,0.0026894736842105285,Closest expert
3285000,0.010526315789473686,New customers
3285000,0.00856842105263158,Closest expert
3285000,0.004763157894736843,New customers
3285000,0.005189473684210528,Closest expert
3285000,0.006510526315789474,New customers
3285000,0.006457894736842106,Closest expert
3285000,0.003131578947368423,New customers
3285000,0.0036368421052631592,Closest expert
3285000,0.006026315789473683,New customers
3285000,0.006089473684210524,Closest expert
3285000,0.006173684210526317,New customers
3285000,0.0061157894736842125,Closest expert
3285000,0.009605263157894738,New customers
3285000,0.00825263157894737,Closest expert
3285000,0.005131578947368423,New customers
3285000,0.005042105263157896,Closest expert
3285000,0.006136842105263159,New customers
3285000,0.0056578947368421065,Closest expert
3285000,0.0028315789473684198,New customers
3285000,0.0027947368421052613,Closest expert
3285000,0.0028999999999999994,New customers
3285000,0.005331578947368421,Closest expert
3285000,0.005021052631578949,New customers
3285000,0.006131578947368423,Closest expert
3285000,0.002736842105263161,New customers
3285000,0.005089473684210527,Closest expert
3285000,0.004321052631578947,New customers
3285000,0.0031157894736842102,Closest expert
3285000,0.006026315789473686,New customers
3285000,0.0055052631578947405,Closest expert
3285000,0.006136842105263158,New customers
3285000,0.005910526315789474,Closest expert
3285000,0.005710526315789475,New customers
3285000,0.005915789473684211,Closest expert
3285000,0.001252631578947368,New customers
3285000,0.0026578947368421043,Closest expert
3285000,0.003936842105263158,New customers
3285000,0.0036421052631578944,Closest expert
3285000,0.004547368421052631,New customers
3285000,0.0034000000000000002,Closest expert
3285000,0.0071736842105263165,New customers
3285000,0.006594736842105264,Closest expert
3285000,0.0032894736842105287,New customers
3285000,0.005015789473684211,Closest expert
3285000,0.004352631578947369,New customers
3285000,0.004610526315789475,Closest expert
3285000,0.006921052631578946,New customers
3285000,0.005931578947368418,Closest expert
3285000,0.004121052631578949,New customers
3285000,0.00555263157894737,Closest expert
3285000,0.006921052631578949,New customers
3285000,0.006315789473684213,Closest expert
3285000,0.0019421052631578958,New customers
3285000,0.0029684210526315807,Closest expert
3285000,0.005331578947368422,New customers
3285000,0.004378947368421051,Closest expert
3285000,0.0016368421052631588,New customers
3285000,0.0025052631578947387,Closest expert
3285000,0.005926315789473685,New customers
3285000,0.0052000000000000015,Closest expert
3285000,0.005142105263157896,New customers
3285000,0.00615263157894737,Closest expert
3285000,0.0067578947368421086,New customers
3285000,0.006247368421052633,Closest expert
3285000,0.002878947368421054,New customers
3285000,0.003757894736842104,Closest expert
3285000,0.005652631578947371,New customers
3285000,0.0061421052631578975,Closest expert
3285000,0.00839473684210526,New customers
3285000,0.005905263157894735,Closest expert
3285000,0.0025947368421052643,New customers
3285000,0.003452631578947371,Closest expert
3285000,0.0028368421052631597,New customers
3285000,0.003331578947368423,Closest expert
3285000,0.0027210526315789483,New customers
3285000,0.004278947368421054,Closest expert
3285000,0.0032789473684210505,New customers
3285000,0.0033947368421052616,Closest expert
3285000,0.002710526315789474,New customers
3285000,0.003926315789473683,Closest expert
3285000,0.0026000000000000016,New customers
3285000,0.004721052631578949,Closest expert
3285000,0.0064684210526315756,New customers
