Number of training steps,Wasserstein distance,Comparison with
1095000,0.00833684210526316,Experts
1095000,0.005094736842105266,Experts
1095000,0.005184210526315793,Experts
1095000,0.007463157894736845,Experts
1095000,0.00665263157894737,Experts
1095000,0.010363157894736845,Experts
1095000,0.0065157894736842135,Experts
1095000,0.007621052631578945,Experts
1095000,0.008115789473684217,Experts
1095000,0.007005263157894741,Experts
1095000,0.00760526315789474,Experts
1095000,0.007484210526315793,Experts
1095000,0.006247368421052632,Experts
1095000,0.0053421052631578946,Experts
1095000,0.008084210526315794,Experts
1095000,0.005784210526315794,Experts
1095000,0.005605263157894737,Experts
1095000,0.00685789473684211,Experts
1095000,0.007694736842105263,Experts
1095000,0.006531578947368422,Experts
1095000,0.01227368421052632,Experts
1095000,0.005173684210526313,Experts
1095000,0.003231578947368424,Experts
1095000,0.007147368421052631,Experts
1095000,0.012047368421052635,Experts
1095000,0.008957894736842104,Experts
1095000,0.008199999999999997,Experts
1095000,0.005926315789473686,Experts
1095000,0.012389473684210528,Experts
1095000,0.007473684210526321,Experts
1095000,0.007700000000000002,Experts
1095000,0.006863157894736842,Experts
1095000,0.005657894736842105,Experts
1095000,0.004968421052631583,Experts
1095000,0.005542105263157896,Experts
1095000,0.0046000000000000025,Experts
1095000,0.006157894736842106,Experts
1095000,0.007931578947368425,Experts
1095000,0.008426315789473688,Experts
1095000,0.007000000000000006,Experts
1095000,0.006163157894736844,Experts
1095000,0.005473684210526317,Experts
1095000,0.005742105263157897,Experts
1095000,0.012400000000000005,Experts
1095000,0.006189473684210526,Experts
1095000,0.006731578947368423,Experts
1095000,0.00793684210526316,Experts
1095000,0.007936842105263164,Experts
1095000,0.004457894736842103,Experts
1095000,0.005868421052631583,Experts
1095000,0.00740526315789474,Experts
1095000,0.006005263157894736,Experts
1095000,0.006010526315789476,Experts
1095000,0.007578947368421056,Experts
1095000,0.0054947368421052615,Experts
1095000,0.00608947368421053,Experts
1095000,0.005447368421052635,Experts
1095000,0.007557894736842109,Experts
1095000,0.002957894736842104,Experts
1095000,0.007089473684210526,Experts
1095000,0.0057052631578947376,Experts
1095000,0.005868421052631578,Experts
1095000,0.0032105263157894727,Experts
1095000,0.007378947368421056,Experts
1095000,0.005436842105263159,Experts
1095000,0.0048631578947368435,Experts
1095000,0.0029789473684210554,Experts
1095000,0.007710526315789473,Experts
1095000,0.004863157894736843,Experts
1095000,0.006668421052631583,Experts
1095000,0.008394736842105262,Experts
1095000,0.004189473684210529,Experts
1095000,0.004731578947368425,Experts
1095000,0.005184210526315791,Experts
1095000,0.005378947368421055,Experts
1095000,0.006626315789473685,Experts
1095000,0.013489473684210527,Experts
1095000,0.0065947368421052635,Experts
1095000,0.003600000000000001,Experts
1095000,0.007094736842105262,Experts
1095000,0.01496842105263158,Experts
1095000,0.005136842105263158,Experts
1095000,0.004726315789473684,Experts
1095000,0.00427894736842105,Experts
1095000,0.004668421052631575,Experts
1095000,0.006457894736842107,Experts
1095000,0.005257894736842104,Experts
1095000,0.007210526315789476,Experts
1095000,0.0091421052631579,Experts
1095000,0.004405263157894739,Experts
1095000,0.005147368421052634,Experts
1095000,0.003789473684210525,Experts
1095000,0.00756842105263158,Experts
1095000,0.007599999999999999,Experts
1095000,0.005994736842105262,Experts
1095000,0.0052263157894736866,Experts
1095000,0.007957894736842105,Experts
1095000,0.0069315789473684206,Experts
1095000,0.014163157894736848,Experts
1095000,0.006773684210526319,Experts
1095000,0.00412105263157895,New customers
1095000,0.008536842105263159,Closest expert
1095000,0.012542105263157898,New customers
1095000,0.009652631578947371,Closest expert
1095000,0.012984210526315793,New customers
1095000,0.008573684210526317,Closest expert
1095000,0.004826315789473682,New customers
1095000,0.008657894736842107,Closest expert
1095000,0.005626315789473684,New customers
1095000,0.009615789473684211,Closest expert
1095000,0.004794736842105265,New customers
1095000,0.009473684210526316,Closest expert
1095000,0.006215789473684211,New customers
1095000,0.007763157894736842,Closest expert
1095000,0.006268421052631579,New customers
1095000,0.008573684210526317,Closest expert
1095000,0.007142105263157896,New customers
1095000,0.008089473684210525,Closest expert
1095000,0.006589473684210525,New customers
1095000,0.008468421052631578,Closest expert
1095000,0.006268421052631578,New customers
1095000,0.008821052631578946,Closest expert
1095000,0.00748947368421053,New customers
1095000,0.008673684210526316,Closest expert
1095000,0.005552631578947368,New customers
1095000,0.009089473684210527,Closest expert
1095000,0.005831578947368425,New customers
1095000,0.009052631578947371,Closest expert
1095000,0.004942105263157897,New customers
1095000,0.008557894736842105,Closest expert
1095000,0.014700000000000001,New customers
1095000,0.008200000000000002,Closest expert
1095000,0.0046368421052631606,New customers
1095000,0.008205263157894736,Closest expert
1095000,0.0056473684210526336,New customers
1095000,0.009347368421052632,Closest expert
1095000,0.006094736842105267,New customers
1095000,0.008110526315789474,Closest expert
1095000,0.007731578947368419,New customers
1095000,0.009068421052631578,Closest expert
1095000,0.007521052631578947,New customers
1095000,0.008657894736842106,Closest expert
1095000,0.004963157894736842,New customers
1095000,0.008221052631578947,Closest expert
1095000,0.006731578947368423,New customers
1095000,0.009010526315789476,Closest expert
1095000,0.005821052631578944,New customers
1095000,0.008168421052631578,Closest expert
1095000,0.0064421052631578974,New customers
1095000,0.008263157894736844,Closest expert
1095000,0.008115789473684213,New customers
1095000,0.008042105263157896,Closest expert
1095000,0.006189473684210529,New customers
1095000,0.007915789473684211,Closest expert
1095000,0.003957894736842105,New customers
1095000,0.007673684210526316,Closest expert
1095000,0.006468421052631576,New customers
1095000,0.008873684210526317,Closest expert
1095000,0.0047421052631578964,New customers
1095000,0.007994736842105263,Closest expert
1095000,0.0044368421052631574,New customers
1095000,0.008684210526315789,Closest expert
1095000,0.007984210526315792,New customers
1095000,0.007721052631578946,Closest expert
1095000,0.007868421052631582,New customers
1095000,0.007978947368421052,Closest expert
1095000,0.0057052631578947376,New customers
1095000,0.008357894736842106,Closest expert
1095000,0.005468421052631578,New customers
1095000,0.00921578947368421,Closest expert
1095000,0.0059157894736842145,New customers
1095000,0.008621052631578946,Closest expert
1095000,0.004215789473684214,New customers
1095000,0.009584210526315789,Closest expert
1095000,0.009247368421052636,New customers
1095000,0.008794736842105263,Closest expert
1095000,0.004057894736842109,New customers
1095000,0.007931578947368423,Closest expert
1095000,0.005321052631578951,New customers
1095000,0.008605263157894737,Closest expert
1095000,0.006821052631578948,New customers
1095000,0.008678947368421053,Closest expert
1095000,0.008521052631578948,New customers
1095000,0.009836842105263158,Closest expert
1095000,0.012326315789473687,New customers
1095000,0.008194736842105265,Closest expert
1095000,0.003989473684210524,New customers
1095000,0.008973684210526316,Closest expert
1095000,0.004557894736842104,New customers
1095000,0.0084,Closest expert
1095000,0.007515789473684213,New customers
1095000,0.008515789473684211,Closest expert
1095000,0.008057894736842111,New customers
1095000,0.008742105263157895,Closest expert
1095000,0.00525789473684211,New customers
1095000,0.008742105263157895,Closest expert
1095000,0.004505263157894735,New customers
1095000,0.007868421052631578,Closest expert
1095000,0.007415789473684209,New customers
1095000,0.008136842105263158,Closest expert
1095000,0.00474815789473684,Average expert
2190000,0.0065736842105263175,Experts
2190000,0.005705263157894738,Experts
2190000,0.005878947368421054,Experts
2190000,0.006231578947368424,Experts
2190000,0.004663157894736843,Experts
2190000,0.010578947368421058,Experts
2190000,0.006231578947368425,Experts
2190000,0.0049157894736842084,Experts
2190000,0.008800000000000004,Experts
2190000,0.0073105263157894765,Experts
2190000,0.00840526315789474,Experts
2190000,0.008389473684210526,Experts
2190000,0.005042105263157898,Experts
2190000,0.004310526315789475,Experts
2190000,0.008447368421052632,Experts
2190000,0.005763157894736845,Experts
2190000,0.00405263157894737,Experts
2190000,0.007389473684210528,Experts
2190000,0.004994736842105263,Experts
2190000,0.004500000000000003,Experts
2190000,0.011747368421052635,Experts
2190000,0.00221578947368421,Experts
2190000,0.004378947368421054,Experts
2190000,0.0034526315789473704,Experts
2190000,0.011852631578947372,Experts
2190000,0.007531578947368421,Experts
2190000,0.005089473684210527,Experts
2190000,0.0039842105263157915,Experts
2190000,0.01122105263157895,Experts
2190000,0.007410526315789478,Experts
2190000,0.00816842105263158,Experts
2190000,0.005410526315789475,Experts
2190000,0.0028315789473684215,Experts
2190000,0.0050684210526315806,Experts
2190000,0.00433684210526316,Experts
2190000,0.004563157894736845,Experts
2190000,0.004668421052631582,Experts
2190000,0.00785263157894737,Experts
2190000,0.008089473684210528,Experts
2190000,0.007657894736842108,Experts
2190000,0.006594736842105264,Experts
2190000,0.0020947368421052642,Experts
2190000,0.00407368421052632,Experts
2190000,0.011742105263157896,Experts
2190000,0.0032473684210526333,Experts
2190000,0.004073684210526318,Experts
2190000,0.008189473684210528,Experts
2190000,0.007705263157894739,Experts
2190000,0.0028947368421052624,Experts
2190000,0.004705263157894739,Experts
2190000,0.007384210526315792,Experts
2190000,0.003752631578947368,Experts
2190000,0.004726315789473687,Experts
2190000,0.006752631578947371,Experts
2190000,0.002826315789473683,Experts
2190000,0.006321052631578949,Experts
2190000,0.004768421052631583,Experts
