Number of training steps,Wasserstein distance,Comparison with
1095000,0.009289473684210531,Experts
1095000,0.007568421052631585,Experts
1095000,0.008563157894736845,Experts
1095000,0.006705263157894744,Experts
1095000,0.007163157894736848,Experts
1095000,0.011168421052631584,Experts
1095000,0.007294736842105272,Experts
1095000,0.0074421052631578975,Experts
1095000,0.008531578947368428,Experts
1095000,0.00811052631578948,Experts
1095000,0.007563157894736849,Experts
1095000,0.01072105263157895,Experts
1095000,0.008068421052631582,Experts
1095000,0.007757894736842111,Experts
1095000,0.008457894736842114,Experts
1095000,0.006621052631578954,Experts
1095000,0.0070000000000000045,Experts
1095000,0.00985789473684211,Experts
1095000,0.0071421052631578975,Experts
1095000,0.007784210526315794,Experts
1095000,0.012331578947368428,Experts
1095000,0.005494736842105265,Experts
1095000,0.007189473684210532,Experts
1095000,0.0065421052631579,Experts
1095000,0.013473684210526323,Experts
1095000,0.009205263157894739,Experts
1095000,0.007984210526315793,Experts
1095000,0.006873684210526321,Experts
1095000,0.011568421052631587,Experts
1095000,0.007894736842105272,Experts
1095000,0.007568421052631584,Experts
1095000,0.007931578947368427,Experts
1095000,0.004810526315789478,Experts
1095000,0.007673684210526321,Experts
1095000,0.005631578947368427,Experts
1095000,0.0063157894736842165,Experts
1095000,0.00671052631578948,Experts
1095000,0.00839473684210527,Experts
1095000,0.008136842105263168,Experts
1095000,0.008310526315789482,Experts
1095000,0.00795789473684211,Experts
1095000,0.004889473684210531,Experts
1095000,0.007110526315789481,Experts
1095000,0.012468421052631583,Experts
1095000,0.0062315789473684265,Experts
1095000,0.006615789473684216,Experts
1095000,0.008994736842105269,Experts
1095000,0.008652631578947377,Experts
1095000,0.005078947368421054,Experts
1095000,0.0061263157894736915,Experts
1095000,0.008189473684210531,Experts
1095000,0.006184210526315791,Experts
1095000,0.005731578947368428,Experts
1095000,0.007073684210526323,Experts
1095000,0.00463684210526316,Experts
1095000,0.008052631578947374,Experts
1095000,0.005605263157894743,Experts
1095000,0.010226315789473688,Experts
1095000,0.002431578947368423,Experts
1095000,0.008168421052631585,Experts
1095000,0.006436842105263164,Experts
1095000,0.005868421052631582,Experts
1095000,0.0036421052631578975,Experts
1095000,0.008278947368421058,Experts
1095000,0.009542105263157899,Experts
1095000,0.005973684210526322,Experts
1095000,0.004689473684210532,Experts
1095000,0.0077315789473684235,Experts
1095000,0.006378947368421058,Experts
1095000,0.006652631578947375,Experts
1095000,0.008794736842105268,Experts
1095000,0.007657894736842113,Experts
1095000,0.0066210526315789555,Experts
1095000,0.007115789473684215,Experts
1095000,0.00549473684210527,Experts
1095000,0.007094736842105268,Experts
1095000,0.013842105263157899,Experts
1095000,0.006400000000000005,Experts
1095000,0.0045947368421052695,Experts
1095000,0.006526315789473688,Experts
1095000,0.016184210526315794,Experts
1095000,0.0062789473684210576,Experts
1095000,0.006536842105263164,Experts
1095000,0.005742105263157897,Experts
1095000,0.004252631578947369,Experts
1095000,0.006357894736842112,Experts
1095000,0.003189473684210527,Experts
1095000,0.006431578947368426,Experts
1095000,0.007610526315789483,Experts
1095000,0.008784210526315795,Experts
1095000,0.006578947368421059,Experts
1095000,0.0035894736842105287,Experts
1095000,0.007842105263157899,Experts
1095000,0.007894736842105265,Experts
1095000,0.0068789473684210565,Experts
1095000,0.007226315789473691,Experts
1095000,0.007952631578947373,Experts
1095000,0.007626315789473689,Experts
1095000,0.014736842105263165,Experts
1095000,0.008068421052631584,Experts
1095000,0.0057894736842105336,New customers
1095000,0.00887368421052632,Closest expert
1095000,0.012910526315789476,New customers
1095000,0.009047368421052636,Closest expert
1095000,0.01389473684210527,New customers
1095000,0.009000000000000006,Closest expert
1095000,0.005157894736842106,New customers
1095000,0.00937368421052632,Closest expert
1095000,0.004821052631578951,New customers
1095000,0.008689473684210532,Closest expert
1095000,0.005131578947368426,New customers
1095000,0.008978947368421057,Closest expert
1095000,0.007184210526315794,New customers
1095000,0.008600000000000005,Closest expert
1095000,0.005663157894736846,New customers
1095000,0.008247368421052635,Closest expert
1095000,0.010910526315789478,New customers
1095000,0.008836842105263164,Closest expert
1095000,0.007057894736842109,New customers
1095000,0.009547368421052636,Closest expert
1095000,0.007431578947368425,New customers
1095000,0.010084210526315796,Closest expert
1095000,0.0070789473684210605,New customers
1095000,0.009221052631578953,Closest expert
1095000,0.005531578947368424,New customers
1095000,0.009231578947368427,Closest expert
1095000,0.006400000000000007,New customers
1095000,0.008973684210526321,Closest expert
1095000,0.007778947368421058,New customers
1095000,0.009163157894736847,Closest expert
1095000,0.016163157894736845,New customers
1095000,0.009300000000000004,Closest expert
1095000,0.008815789473684216,New customers
1095000,0.008921052631578953,Closest expert
1095000,0.004810526315789478,New customers
1095000,0.008836842105263164,Closest expert
1095000,0.006678947368421061,New customers
1095000,0.009426315789473689,Closest expert
1095000,0.007673684210526319,New customers
1095000,0.00921052631578948,Closest expert
1095000,0.007021052631578954,New customers
1095000,0.009315789473684215,Closest expert
1095000,0.006384210526315794,New customers
1095000,0.009515789473684215,Closest expert
1095000,0.006263157894736847,New customers
1095000,0.008536842105263162,Closest expert
1095000,0.005963157894736845,New customers
1095000,0.00897368421052632,Closest expert
1095000,0.006736842105263165,New customers
1095000,0.008847368421052637,Closest expert
1095000,0.007757894736842111,New customers
1095000,0.009647368421052635,Closest expert
1095000,0.009547368421052636,New customers
1095000,0.008684210526315794,Closest expert
1095000,0.0052157894736842144,New customers
1095000,0.009473684210526322,Closest expert
1095000,0.006947368421052633,New customers
1095000,0.009826315789473688,Closest expert
1095000,0.006852631578947375,New customers
1095000,0.009468421052631584,Closest expert
1095000,0.005121052631578953,New customers
1095000,0.009131578947368425,Closest expert
1095000,0.00737894736842106,New customers
1095000,0.008463157894736846,Closest expert
1095000,0.009852631578947375,New customers
1095000,0.009757894736842111,Closest expert
1095000,0.004536842105263162,New customers
1095000,0.008305263157894743,Closest expert
1095000,0.004710526315789477,New customers
1095000,0.008752631578947373,Closest expert
1095000,0.007742105263157901,New customers
1095000,0.009052631578947373,Closest expert
1095000,0.007747368421052639,New customers
1095000,0.009663157894736847,Closest expert
1095000,0.009721052631578957,New customers
1095000,0.009715789473684216,Closest expert
1095000,0.006542105263157901,New customers
1095000,0.008668421052631584,Closest expert
1095000,0.007115789473684217,New customers
1095000,0.009936842105263164,Closest expert
1095000,0.007394736842105267,New customers
1095000,0.009200000000000005,Closest expert
1095000,0.007763157894736846,New customers
1095000,0.009215789473684215,Closest expert
1095000,0.012710526315789481,New customers
1095000,0.00865789473684211,Closest expert
1095000,0.0032263157894736856,New customers
1095000,0.008378947368421057,Closest expert
1095000,0.005447368421052635,New customers
1095000,0.009489473684210534,Closest expert
1095000,0.011463157894736847,New customers
1095000,0.009736842105263164,Closest expert
1095000,0.00880000000000001,New customers
1095000,0.010352631578947374,Closest expert
1095000,0.009110526315789479,New customers
1095000,0.009115789473684218,Closest expert
1095000,0.004526315789473687,New customers
1095000,0.008710526315789478,Closest expert
1095000,0.0076736842105263195,New customers
1095000,0.008805263157894741,Closest expert
1095000,0.004903315789473686,Average expert
2190000,0.00875263157894737,Experts
2190000,0.007815789473684212,Experts
2190000,0.008531578947368423,Experts
2190000,0.0036263157894736863,Experts
2190000,0.007489473684210528,Experts
2190000,0.007236842105263161,Experts
2190000,0.0047105263157894775,Experts
2190000,0.006657894736842104,Experts
2190000,0.004989473684210531,Experts
2190000,0.0035736842105263196,Experts
2190000,0.00448947368421053,Experts
2190000,0.009931578947368423,Experts
2190000,0.008842105263157892,Experts
2190000,0.00764736842105263,Experts
2190000,0.004126315789473688,Experts
2190000,0.0029421052631578982,Experts
2190000,0.006857894736842105,Experts
2190000,0.009663157894736844,Experts
2190000,0.006505263157894736,Experts
2190000,0.0074368421052631575,Experts
2190000,0.009063157894736846,Experts
2190000,0.004678947368421051,Experts
2190000,0.00805263157894737,Experts
2190000,0.00411578947368421,Experts
2190000,0.00845789473684211,Experts
2190000,0.008452631578947366,Experts
2190000,0.007399999999999999,Experts
2190000,0.007336842105263156,Experts
2190000,0.008142105263157898,Experts
2190000,0.004147368421052637,Experts
2190000,0.0038368421052631593,Experts
2190000,0.007905263157894736,Experts
2190000,0.0041947368421052615,Experts
2190000,0.007410526315789477,Experts
2190000,0.0030578947368421067,Experts
2190000,0.006952631578947373,Experts
2190000,0.00801578947368421,Experts
2190000,0.004331578947368424,Experts
