steps	episodes	average_discriminator_loss	average_D_output	average_mod_rewards	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates
1095000	1000	-0.5556494982540607	-0.696872190758586	nan	-0.6968721924135317	-0.11363986	0.48404586	0.08735439326614142	-0.0033241424383595587	150000
2190000	2000	-0.5281200875639915	-1.0221731080301106	nan	-1.022173116904469	-1.4681362	0.45339057	0.11851471997797489	0.005486635005217977	300000
3285000	3000	-0.41632993960380554	-1.1514795122668147	nan	-1.1514795157779485	-1.5278194	0.4542058	0.1364732987433672	-0.00998843643348664	450000
4380000	4000	-0.39369223555922506	-1.2020406891265885	nan	-1.2020406912780877	-0.7497702	0.47253937	0.12366443492472172	0.0006301374756731093	600000
5475000	5000	-0.3912907340824604	-1.174075544949621	nan	-1.1740755448569014	-2.173466	0.46385115	0.07320078708231449	0.007641258214134723	750000
6570000	6000	-0.4704453035444021	-1.1613575265347027	nan	-1.161357528590955	-0.37207592	0.45918077	0.13225177280604838	0.00041814263560809197	900000
7665000	7000	-0.29482373312860727	-1.1355017083078356	nan	-1.1355017100032039	-1.0580705	0.48388794	0.06497872989624738	-0.011488910301122814	1050000
8760000	8000	-0.3612883710563183	-1.1192969355353852	nan	-1.1192969365853398	-0.2742956	0.4529034	0.05829833045601845	-0.00638208715710789	1200000
9855000	9000	-0.3553357791751623	-1.1035251468890863	nan	-1.1035251481577857	-0.19770491	0.48331815	0.6027007481455803	-0.006762332251528278	1350000
10950000	10000	-0.5943109837472439	-1.086285601323005	nan	-1.0862856026742085	-1.0404723	0.48654073	0.42238707065582276	0.003478702080901712	1500000
