steps	episodes	average_discriminator_loss	average_D_output	average_mod_rewards	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates
1095000	1000	-0.4589230335056782	-0.40352500960230825	nan	-0.4035250002230582	-0.6591616	0.47914594	0.08113867729902267	0.0001768772560171783	150000
2190000	2000	-0.20232388102263213	-0.381338266171515	nan	-0.38133825980726477	1.4572495	0.4601412	0.04671682711690664	-0.016992975913453848	300000
3285000	3000	-0.12966041447594762	-0.3120446625103553	nan	-0.31204465817226323	1.6185077	0.4884636	0.03436566701158881	-0.010364046208560468	450000
4380000	4000	-0.21998922327160836	-0.4386555884126574	nan	-0.43865558585757697	-1.7349224	0.43763053	0.09586359169334173	-0.006120021649985574	600000
5475000	5000	-0.32896958270668986	-0.7645922568514943	nan	-0.7645922531942396	-2.1224604	0.41088	0.0610507920384407	-0.0076759960455819965	750000
6570000	6000	-0.2781491260677576	-1.0005562349719306	nan	-1.0005562343942729	-2.3958383	0.44666234	0.05136685132980347	0.011736695095896721	900000
7665000	7000	-0.25960248096287253	-1.1781431651594383	nan	-1.1781431664207078	-2.360493	0.45666912	0.0467862432077527	-0.00017442895565181971	1050000
8760000	8000	-0.2790572753697634	-1.3086430213274434	nan	-1.308643024974832	-2.373376	0.42998904	0.04887531626969576	0.0026278299174737185	1200000
9855000	9000	-0.2644565546512604	-1.410993252367609	nan	-1.4109932562108534	-2.4409068	0.4524089	0.04715186003595591	-0.0043157488852739335	1350000
10950000	10000	-0.2821880125403404	-1.4957170925475658	nan	-1.4957170965931745	-1.9909216	0.463232	0.05689912799745798	-0.002556951242731884	1500000
12045000	11000	-0.2296587100699544	-1.6748244593031705	nan	-1.6748244656701095	-2.3053715	0.46498892	0.05784153770655394	-0.0061373739736154675	1650000
13140000	12000	-0.2279205045104027	-1.8559161986373365	nan	-1.8559162047473399	-2.5161335	0.475272	0.06449434410780669	0.0005261681054253132	1800000
14235000	13000	-0.1764149056598544	-2.0485988935939967	nan	-2.048598900694303	-1.8169321	0.46236745	0.06982622914016247	-0.0027067537780385465	1950000
15330000	14000	-0.20584317343682051	-2.168294984459877	nan	-2.168294992031545	-1.7508997	0.45021906	0.06581386506557464	0.010511850275215694	2100000
16425000	15000	-0.17486580853164196	-2.1657358033657075	nan	-2.1657358132003592	-1.6384472	0.455406	0.06063188835978508	-0.00465597691712901	2250000
17520000	16000	-0.16265495701134206	-2.1523755637407302	nan	-2.1523755720976934	-2.063623	0.4625504	0.051751676760613916	-0.0018726897663145791	2400000
18615000	17000	-0.15861670590937138	-2.1320205825567244	nan	-2.1320205886415695	-1.9996158	0.46433353	0.06425094548612834	-0.011382498741149903	2550000
19710000	18000	-0.14846256798505783	-2.1040452585220337	nan	-2.1040452629803577	-2.2210617	0.4583781	0.05116802155971527	-0.011230975821381434	2700000
20805000	19000	-0.09946613464131951	-2.0756104552745818	nan	-2.0756104595988307	-1.6975108	0.45831937	0.06375855460762977	-0.0020927708840463312	2850000
21900000	20000	-0.15691735289990902	-2.04920789706707	nan	-2.049207901266198	-2.015063	0.46516436	0.07651356965303421	-0.007349825591081754	3000000
