steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss
10000	50	51.035393953323364	0.0	0.0	0.0	0.0	0.0	-1.202132915854454	0.008930739584702849	0.1779525742586702	-0.40451919657178226
20000	100	97.71945595741272	0.0	0.0	0.0	0.0	0.0	1.0917899327240885	0.003420137607918619	2.063273975290358	0.5096777061745524
30000	150	148.00526595115662	0.0	0.0	0.0	0.0	0.0	23.075293718419967	0.00012395284014937857	24.489318495988847	-0.4354048636555672
40000	200	195.8763439655304	0.0	0.0	0.0	0.0	0.0	22.08202411031723	0.005646808367868076	19.158790049552916	-0.5722784900665283
50000	250	244.71667671203613	0.0	0.0	0.0	0.0	0.0	19.029661689281465	0.05529405206796946	50.75098898768425	-1.0689086410403252
60000	300	299.76221990585327	0.0	0.0	0.0	0.0	0.0	43.901891369819644	0.00431730996744524	130.36464851856232	-0.7470377060770989
70000	350	356.0105118751526	0.0	0.0	0.0	0.0	0.0	20.910390014279635	0.010052965721555325	90.64829926103353	0.5745713099837303
80000	400	412.5290319919586	0.0	0.0	0.0	0.0	0.0	23.833791051864623	0.1905416435683146	102.24034728050232	-2.8303248931467535
90000	450	462.9427418708801	0.0	0.0	0.0	0.0	0.0	30.484124539375305	0.1933043581319507	41.5881536090374	-0.8556685517728329
100000	500	510.8463988304138	0.0	0.0	0.0	0.0	0.0	18.84936906719208	0.18794115798238273	42.967188409790396	-0.5279709884524345
110000	550	557.0674908161163	0.0	0.0	0.0	0.0	0.0	14.017522927761078	0.11198187808300099	34.70035310998559	-0.49557522535324094
120000	600	607.0759558677673	0.0	0.0	0.0	0.0	0.0	21.048104446411134	0.12783667006681207	60.88189843535423	0.030421002209186553
130000	650	657.3258168697357	0.0	0.0	0.0	0.0	0.0	21.726511125564574	0.13314620358617207	77.77645474433899	0.394845754802227
140000	700	717.6170198917389	0.0	0.0	0.0	0.0	0.0	-9.025406927108765	0.03144026107375513	48.932374727725986	-0.3689155152440071
150000	750	766.7029368877411	0.0	0.0	0.0	0.0	0.0	18.970319623947145	0.06408652335079626	60.722700531482694	0.5692126476764678
160000	800	845.2515180110931	0.0	0.0	0.0	0.0	0.0	27.118028625488282	0.05436694563642779	138.78391536712647	0.6041495051980018
170000	850	913.260705947876	0.0	0.0	0.0	0.0	0.0	22.004668745040895	0.03971508492918055	89.56300889253616	0.08820415437221527
180000	900	964.3095419406891	0.0	0.0	0.0	0.0	0.0	-3.703415117263794	0.017187257827498605	26.13049075126648	-1.7506222808361054
190000	950	1015.8291878700256	0.0	0.0	0.0	0.0	0.0	15.241272801399232	0.03492064302988525	76.59657252311706	-2.1209027379751206
200000	1000	1065.1422748565674	0.0	0.0	0.0	0.0	0.0	-7.134923988342285	0.014934277477666076	49.18497805356979	0.5643193119764328
