steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss
10000	50	47.145148038864136	0.0	0.0	0.0	0.0	0.0	-1.1456974339410662	0.010571112700241315	0.17805733428336679	-0.42119956817477944
20000	100	93.44104790687561	0.0	0.0	0.0	0.0	0.0	1.2144859415702522	0.004764546708643138	2.07598501640372	0.4711831144243479
30000	150	139.69051003456116	0.0	0.0	0.0	0.0	0.0	23.554013230025767	0.0007291499623079858	25.205627524256705	-0.4309912110865116
40000	200	186.17819786071777	0.0	0.0	0.0	0.0	0.0	12.678799323283135	0.1222412682485301	20.256939650774	0.5380370652675629
50000	250	233.80839586257935	0.0	0.0	0.0	0.0	0.0	26.28791584956646	0.014591535454878339	64.83038080379367	-0.6674060770869255
60000	300	281.46859788894653	0.0	0.0	0.0	0.0	0.0	30.640393305778503	0.1450393901896896	74.28167548656464	-0.5829023098945618
70000	350	328.3524739742279	0.0	0.0	0.0	0.0	0.0	7.213812664985657	0.22178348289884162	33.84164338737726	0.8625505030155182
80000	400	382.2411141395569	0.0	0.0	0.0	0.0	0.0	47.901542409829794	0.02435486334100266	157.99607658863067	-0.9737951415777206
90000	450	436.49797797203064	0.0	0.0	0.0	0.0	0.0	-31.156753168158232	0.3914733388889581	148.86370965003968	6.740714198350906
100000	500	487.3185410499573	0.0	0.0	0.0	0.0	0.0	28.29061207269132	0.07442607717725556	72.98060776911676	-0.6146623480319977
110000	550	540.4291989803314	0.0	0.0	0.0	0.0	0.0	23.040597632050513	0.07641280493636587	57.92156288534403	-0.039625441431999205
120000	600	589.4498300552368	0.0	0.0	0.0	0.0	0.0	26.598989830970766	0.10884782530232223	72.69700407505036	0.43874927535653113
130000	650	637.2860050201416	0.0	0.0	0.0	0.0	0.0	31.13231283134222	0.07881496279372478	117.0980101466179	0.25267271101474764
