steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss
10000	50	47.145148038864136	0.0	0.0	0.0	0.0	0.0	-1.1456974339410662	0.010571112700241315	0.17805733428336679	-0.42119956817477944
20000	100	93.44104790687561	0.0	0.0	0.0	0.0	0.0	1.2144859415702522	0.004764546708643138	2.07598501640372	0.4711831144243479
30000	150	139.69051003456116	0.0	0.0	0.0	0.0	0.0	23.554013230025767	0.0007291499623079858	25.205627524256705	-0.4309912110865116
40000	200	186.17819786071777	0.0	0.0	0.0	0.0	0.0	12.678799323283135	0.1222412682485301	20.256939650774	0.5380370652675629
50000	250	233.80839586257935	0.0	0.0	0.0	0.0	0.0	26.28791584956646	0.014591535454878339	64.83038080379367	-0.6674060770869255
60000	300	281.46859788894653	0.0	0.0	0.0	0.0	0.0	30.640393305778503	0.1450393901896896	74.28167548656464	-0.5829023098945618
70000	350	328.3524739742279	0.0	0.0	0.0	0.0	0.0	7.213812664985657	0.22178348289884162	33.84164338737726	0.8625505030155182
80000	400	382.2411141395569	0.0	0.0	0.0	0.0	0.0	47.901542409829794	0.02435486334100266	157.99607658863067	-0.9737951415777206
90000	450	436.49797797203064	0.0	0.0	0.0	0.0	0.0	-31.156753168158232	0.3914733388889581	148.86370965003968	6.740714198350906
100000	500	487.3185410499573	0.0	0.0	0.0	0.0	0.0	28.29061207269132	0.07442607717725556	72.98060776911676	-0.6146623480319977
110000	550	540.4291989803314	0.0	0.0	0.0	0.0	0.0	23.040597632050513	0.07641280493636587	57.92156288534403	-0.039625441431999205
120000	600	589.4498300552368	0.0	0.0	0.0	0.0	0.0	26.598989830970766	0.10884782530232223	72.69700407505036	0.43874927535653113
130000	650	637.2860050201416	0.0	0.0	0.0	0.0	0.0	31.13231283134222	0.07881496279372478	117.0980101466179	0.25267271101474764
140000	700	685.6763408184052	0.0	0.0	0.0	0.0	0.0	-2.9676671524047853	0.01977298430986834	64.81059466287493	-0.04052233830094337
150000	750	734.208752155304	0.0	0.0	0.0	0.0	0.0	19.97693257904053	0.1732329936294118	41.99200123906135	2.131285838931799
160000	800	783.2987518310547	0.0	0.0	0.0	0.0	0.0	22.439625966072082	0.08314218403527268	100.05317970275878	0.19338244661688805
170000	850	833.1093850135803	0.0	0.0	0.0	0.0	0.0	18.00435932826996	0.05459923344025724	70.57403554856778	-0.5428210720419884
180000	900	880.934201002121	0.0	0.0	0.0	0.0	0.0	-1.6299990253448486	0.004187384314888667	18.271814843416212	-1.4599252311140298
190000	950	927.7955930233002	0.0	0.0	0.0	0.0	0.0	3.4642048091888427	0.06604592547060517	34.15463270187378	0.2749610209465027
200000	1000	974.2069480419159	0.0	0.0	0.0	0.0	0.0	-15.396346419513225	0.03659838962342424	20.555691266059874	0.7534535539150238
210000	1050	1020.6907770633698	0.0	0.0	0.0	0.0	0.0	-12.25207423210144	0.020441728627344898	59.13917056083679	1.6691756995022298
220000	1100	1067.345831155777	0.0	0.0	0.0	0.0	0.0	7.241030197143555	0.07579330270025443	37.0897384428978	-0.2422099182009697
230000	1150	1114.3673598766327	0.0	0.0	0.0	0.0	0.0	27.661203006744383	0.05399691696069081	126.99880332231521	-0.7559768980741501
240000	1200	1161.789036989212	0.0	0.0	0.0	0.0	0.0	29.46314427947998	0.018956563476441268	174.59127842903138	1.6226706918329001
250000	1250	1208.8262860774994	0.0	0.0	0.0	0.0	0.0	-22.80636101913452	2.809621046915234e-06	22.095691487789153	0.21515511676669122
260000	1300	1256.2776169776917	0.0	0.0	0.0	0.0	0.0	24.528271629333496	0.026665201574625066	94.15217176437378	-0.29598637104034425
270000	1350	1303.0973920822144	0.0	0.0	0.0	0.0	0.0	13.774886039733886	0.008879220572437353	45.148015457391736	0.21078823149204254
280000	1400	1351.8718371391296	0.0	0.0	0.0	0.0	0.0	27.989292510986328	0.030437963348885842	99.09589830636978	1.5333369499444962
290000	1450	1399.5615861415863	0.0	0.0	0.0	0.0	0.0	32.70491701507569	0.02131903756811483	116.66682045698165	-1.1084990912675858
300000	1500	1472.9934709072113	0.0	0.0	0.0	0.0	0.0	54.57661117553711	0.04203239967042086	161.66048295974733	-1.4876563775539398
310000	1550	1523.3728940486908	0.0	0.0	0.0	0.0	0.0	26.433632598876954	0.021118794493681196	61.84345438838005	1.130104698240757
320000	1600	1573.3907539844513	0.0	0.0	0.0	0.0	0.0	-5.971153066635132	0.0029569785142910697	95.78886761784554	-2.17563488535583
330000	1650	1620.3672711849213	0.0	0.0	0.0	0.0	0.0	11.682902931213379	0.007960575413887951	25.48714629173279	-1.9223797523975372
340000	1700	1668.5056569576263	0.0	0.0	0.0	0.0	0.0	31.897308971405028	0.01082795550902183	114.81626309394836	2.099976353645325
350000	1750	1716.178426027298	0.0	0.0	0.0	0.0	0.0	12.67610425567627	0.0065297786585411495	146.4718936252594	0.631005329489708
360000	1800	1764.1688849925995	0.0	0.0	0.0	0.0	0.0	-26.676077014923095	2.2625518736686846e-05	27.043906655311584	0.10461663618683816
370000	1850	1811.456598997116	0.0	0.0	0.0	0.0	0.0	33.070119703292846	0.00881655480982518	138.4259909081459	1.2788376325368882
380000	1900	1859.1757290363312	0.0	0.0	0.0	0.0	0.0	12.696809610366822	0.008840314935939807	60.23221788406372	0.3659153914451599
390000	1950	1906.24067902565	0.0	0.0	0.0	0.0	0.0	2.573031066894531	0.026386379466173514	64.44983857154847	1.6223302292823791
400000	2000	1953.4557039737701	0.0	0.0	0.0	0.0	0.0	27.74369975090027	0.019618841640250965	176.78796477794648	1.272355890274048
