steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss
10000	100	87.27670383453369	0.0	0.0	0.0	0.0	0.0	11.221645644215867	0.03249558128775971	0.009776302707614377	-0.030328950067050754
20000	200	173.0426528453827	0.0	0.0	0.0	0.0	0.0	-3.8585466780364515	0.6013813158124686	4.2499004900455475	0.41365581832826137
30000	300	259.02093720436096	0.0	0.0	0.0	0.0	0.0	14.094816884386352	0.01300796950142592	0.012961046437267214	-0.03251540661323816
40000	400	344.47807097435	0.0	0.0	0.0	0.0	0.0	27.76131817379594	0.09438927800654347	0.3570344717800617	-0.07448568254709244
50000	500	429.5615074634552	0.0	0.0	0.0	0.0	0.0	17.54952221426368	0.035652484464725145	0.216210747808218	-0.35479493537917733
60000	600	514.883727312088	0.0	0.0	0.0	0.0	0.0	17.403519110657275	0.348927943918364	12.239231038093568	4.259036301374436
70000	700	600.0529181957245	0.0	0.0	0.0	0.0	0.0	23.16011027854681	0.0242426246617612	0.19042358599603176	-0.4624306735396385
80000	800	685.8450400829315	0.0	0.0	0.0	0.0	0.0	-49.21237988722324	0.5915360377915203	46.78256845474243	1.711327722221613
90000	900	771.2365307807922	0.0	0.0	0.0	0.0	0.0	28.440809642858802	0.034959103856446065	0.35156132336705925	-0.2590642861276865
100000	1000	857.119414806366	0.0	0.0	0.0	0.0	0.0	-22.680178773999213	0.14103825806608847	9.743161115646362	-3.566694531440735
110000	1100	943.112833738327	0.0	0.0	0.0	0.0	0.0	29.127041713237762	0.034181649332770576	0.5859777672588825	-0.7775216022133827
120000	1200	1028.730845451355	0.0	0.0	0.0	0.0	0.0	10.800481405214407	0.050424402761908495	1.14878302693367	-0.6066575087234378
130000	1300	1114.4830598831177	0.0	0.0	0.0	0.0	0.0	26.20668107987568	0.013447403494001281	0.6044164696335792	-0.30759873509407043
140000	1400	1200.6620247364044	0.0	0.0	0.0	0.0	0.0	29.100499373793603	0.01988660006280864	0.006017703859542962	0.06233051890507341
150000	1500	1286.702434539795	0.0	0.0	0.0	0.0	0.0	30.9353905544281	0.003945567008768009	0.1131578393909149	-0.022721089906990528
160000	1600	1373.2390449047089	0.0	0.0	0.0	0.0	0.0	-16.123943087842317	0.06883390317883095	1.7461679762601852	0.08410469356924295
170000	1700	1459.5202662944794	0.0	0.0	0.0	0.0	0.0	18.42856220769882	0.018016750657816487	0.11369980211835355	-0.2605408871173859
180000	1800	1545.901225566864	0.0	0.0	0.0	0.0	0.0	20.87608056176454	0.01589768374123241	0.16193977949209512	-0.10099415452219546
190000	1900	1632.4373655319214	0.0	0.0	0.0	0.0	0.0	27.71263339602947	0.0031410180064175394	0.0013972548927995375	-0.005957210551714525
200000	2000	1719.1487033367157	0.0	0.0	0.0	0.0	0.0	30.930778879612685	0.0037904360721503425	0.0021360166542581283	0.05067692411132157
210000	2100	1805.5429482460022	0.0	0.0	0.0	0.0	0.0	24.560217388540508	0.007055797295313383	0.30408322129398585	0.19983673413284123
220000	2200	1892.029470205307	0.0	0.0	0.0	0.0	0.0	22.21638098177314	0.002875489900454795	0.002056050590472296	0.021741533330641688
230000	2300	1978.5351502895355	0.0	0.0	0.0	0.0	0.0	20.15111884406954	0.0029260075575975658	0.01696920084010344	0.0398612602846697
240000	2400	2065.8788068294525	0.0	0.0	0.0	0.0	0.0	16.09285791304335	0.009878527780717728	0.2613571809977293	-0.31109539546072484
250000	2500	2152.5625014305115	0.0	0.0	0.0	0.0	0.0	-43.17669642347097	0.07511910082660472	10.489843287467956	-2.925401781797409
260000	2600	2239.3515684604645	0.0	0.0	0.0	0.0	0.0	16.477967978179453	0.017985043738699785	0.4039133806526661	-0.09265438303351402
270000	2700	2325.8105685710907	0.0	0.0	0.0	0.0	0.0	25.35305927628279	0.015141944484691562	0.055121624573366716	-0.05088086354197003
280000	2800	2411.64320230484	0.0	0.0	0.0	0.0	0.0	32.656335439287126	0.008087132436263333	0.01383153717382811	-0.07426354355178773
290000	2900	2498.1405839920044	0.0	0.0	0.0	0.0	0.0	39.43586136099696	0.01460705577981403	0.6316698657348752	-0.16884536772966385
