steps	episodes	elapsed	mean	median	stdev	max	min	average_discriminator_loss	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss
10000	100	143.79368042945862	0.0	0.0	0.0	0.0	0.0	0.034197588809407674	-0.7363248845228018	-20.24135952281952	0.20430852534621954	8.302037925720215	-0.08412670239806175
20000	200	286.20622181892395	0.0	0.0	0.0	0.0	0.0	0.03462627255477202	-0.601676358602559	-17.78161425536126	0.14790333831775934	1.3570691451430321	-0.09083842191845179
30000	300	428.9846634864807	0.0	0.0	0.0	0.0	0.0	0.0353414566279986	-0.5248335739199677	-11.816451715875417	0.11393488461721153	2.89942130446434	1.159255474358797
40000	400	572.5938339233398	0.0	0.0	0.0	0.0	0.0	0.03447587492589194	-0.5515038214791088	-17.998153584498912	0.07916809584799557	0.9821690690517425	-0.042240068912506104
50000	500	715.8165340423584	0.0	0.0	0.0	0.0	0.0	0.034294702251179095	-0.5318525552272032	-18.146766874436288	0.07024001846795727	0.27479891158640385	-0.18600192870944737
60000	600	858.6574575901031	0.0	0.0	0.0	0.0	0.0	0.03385391807517944	-0.560676074332088	-15.775548743784428	0.09963553794226027	1.8277982956171035	0.028141709603369237
70000	700	1000.3705081939697	0.0	0.0	0.0	0.0	0.0	0.03428302705970221	-0.5287885434393372	-14.94885914387554	0.021122903759307518	0.20708678867667912	0.31374588161706923
80000	800	1142.1052100658417	0.0	0.0	0.0	0.0	0.0	0.03417671013176441	-0.5384668238580227	-76.50241248130799	0.562548538081348	35.32499145507813	-1.9495643043518067
90000	900	1282.723862171173	0.0	0.0	0.0	0.0	0.0	0.03388234937714564	-0.5454160969540116	-21.862798488497734	0.03122002174684212	0.30536122266203164	0.025552424676716326
100000	1000	1423.558821439743	0.0	0.0	0.0	0.0	0.0	0.033905470493355724	-0.5397810484121688	-22.733026815161107	0.02538281138739535	0.5096288908645511	0.41004893969744444
110000	1100	1563.7394707202911	0.0	0.0	0.0	0.0	0.0	0.03388283725901658	-0.5411717423277975	-24.99807108747959	0.028414901429867256	0.47848432678729297	-0.10486394792795181
120000	1200	1703.8647940158844	0.0	0.0	0.0	0.0	0.0	0.033801545497336154	-0.5443639919010718	-26.13188946220279	0.015485686445866577	0.43613708309829236	-0.2704054272174835
130000	1300	1844.800437927246	0.0	0.0	0.0	0.0	0.0	0.03373809641599655	-0.5471585673764348	-90.39599825382233	0.5831919551361352	84.08217240333558	-2.6194622713327407
140000	1400	1985.2569830417633	0.0	0.0	0.0	0.0	0.0	0.03336439698189497	-0.559964234650135	-28.211197575762867	0.037898728034734236	0.3677002016827464	-0.15873673739377409
150000	1500	2126.2470183372498	0.0	0.0	0.0	0.0	0.0	0.03312689003162086	-0.5735438595712185	-28.24457719697803	0.031182802280603952	0.8060068679600954	0.40304416476748883
160000	1600	2268.977926969528	0.0	0.0	0.0	0.0	0.0	0.03286440474167466	-0.5844633236080408	-29.810548497453333	0.02631307029778069	0.3330937813967466	0.17371628910303116
170000	1700	2410.224801301956	0.0	0.0	0.0	0.0	0.0	0.032664730908349156	-0.6029495109468699	-30.957222704678774	0.016053556352238024	0.5298794523812831	0.4011712926626205
180000	1800	2551.9501020908356	0.0	0.0	0.0	0.0	0.0	0.032554722417145965	-0.6135609355717897	-31.464116331793367	0.025772802374507606	0.7652716078609229	-0.14935714051127433
190000	1900	2692.6011924743652	0.0	0.0	0.0	0.0	0.0	0.0323488730546087	-0.6280991196632385	-33.08615042296052	0.023265289803453874	0.4486283525824547	-0.012418254315853118
200000	2000	2832.6398561000824	0.0	0.0	0.0	0.0	0.0	0.031802226761355995	-0.6780442334711552	-31.254566264279187	0.05941312713745992	1.0137978821992875	-0.5281639117002487
210000	2100	2973.5768406391144	0.0	0.0	0.0	0.0	0.0	0.0317022128328681	-0.6794602245986462	-31.311947139434515	0.03663703107999052	0.9397439102828503	-0.24602899581193924
220000	2200	3113.74990606308	0.0	0.0	0.0	0.0	0.0	0.03155837267823517	-0.6959408197700977	-34.07983979719877	0.028344824705950615	0.7367843417823314	0.24318049997091293
230000	2300	3254.0580406188965	0.0	0.0	0.0	0.0	0.0	0.031225565878674387	-0.7197122238576412	-34.72686829549074	0.034635668329240685	0.5528823173046112	0.3547710085846484
240000	2400	3396.282600879669	0.0	0.0	0.0	0.0	0.0	0.030966712409630417	-0.7384500358402729	-36.190277778208255	0.02868466657752616	0.7099426937103271	0.28813487783074376
250000	2500	3537.053219795227	0.0	0.0	0.0	0.0	0.0	0.03071310964599252	-0.7582212345004081	-38.683500354602934	0.047022984371236726	0.5283675538003445	0.3736332708597183
260000	2600	3677.5099754333496	0.0	0.0	0.0	0.0	0.0	0.030631804451346396	-0.75800831797719	-37.24479826515913	0.029339532700168074	0.7761196131259203	0.3274368293583393
270000	2700	3818.5199205875397	0.0	0.0	0.0	0.0	0.0	0.030361762085929514	-0.7919267064929009	-34.37312980335951	0.050073660890153346	1.129434185475111	0.28647024035453794
280000	2800	3958.9590191841125	0.0	0.0	0.0	0.0	0.0	0.03021303522400558	-0.806955298691988	-37.81714059343934	0.043099079563868124	0.942581488341093	-0.32557902425527574
290000	2900	4100.050164937973	0.0	0.0	0.0	0.0	0.0	0.030055423423647882	-0.8212721745669842	-39.89281005474925	0.05404463516287981	0.6320155569165945	-0.30918337635695936
300000	3000	4241.104952096939	0.0	0.0	0.0	0.0	0.0	0.030000612134113907	-0.8333246393203735	-35.85435751779377	0.029786919293706266	0.8675147360563278	0.5416751639544963
310000	3100	4382.462580680847	0.0	0.0	0.0	0.0	0.0	0.029832291467115284	-0.8471135936379433	-39.40884959988296	0.03910921701676717	0.6714400480687618	0.36640988945961
320000	3200	4525.076421499252	0.0	0.0	0.0	0.0	0.0	0.029769534410908818	-0.8602473683357239	-40.40207013206184	0.03729584348765349	0.8499999748915434	0.20288922965526582
330000	3300	4666.533764362335	0.0	0.0	0.0	0.0	0.0	0.029806565375998618	-0.8557315193414688	-38.742959773778914	0.025576200140606756	0.7776170102506876	0.5813243448734283
340000	3400	4807.611142396927	0.0	0.0	0.0	0.0	0.0	0.029670494992285967	-0.873035060942173	-42.29860716372728	0.04779553264738367	0.7913579700142145	0.09506106227636338
350000	3500	4950.74662899971	0.0	0.0	0.0	0.0	0.0	0.02964564533904195	-0.8864017106890678	-42.48912522792816	0.02419683886908966	0.5893751156330108	-0.11876828491687774
360000	3600	5095.088625907898	0.0	0.0	0.0	0.0	0.0	0.029599800670519472	-0.8983730325698852	-41.85774169754982	0.020941533568620437	0.6001958238333464	-0.4176392218470573
