steps	episodes	elapsed	mean	median	stdev	max	min	average_discriminator_loss	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
10000	10	110.55819964408875	0.0	0.0	0.0	0.0	0.0	-0.00306603028072351	0.1535509487088674	21.519832054138185	0.005899422888323898	0.4879122282937169	4.181638360023499e-09	1560	nan
20000	20	217.6068058013916	0.0	0.0	0.0	0.0	0.0	-0.06001318569481373	0.40322188032456696	62.97940408325195	0.0008785407916348049	8.744084320664406	2.5704503059387205e-09	3120	nan
30000	30	326.01351976394653	0.0	0.0	0.0	0.0	0.0	-0.1775810997118242	0.8409926468012934	160.25487594604493	0.0029533048493976823	15.606453802585602	1.1939555406570435e-08	4680	nan
40000	40	435.02656984329224	0.0	0.0	0.0	0.0	0.0	-0.2696052398425527	1.3196147022744975	236.24994442749022	0.0007345416121544662	14.51283472776413	5.941838026046753e-09	6240	nan
50000	50	542.2558722496033	0.0	0.0	0.0	0.0	0.0	-0.34572847351245584	1.7481503437440364	303.1073804473877	0.0007310484975398206	18.280833406448366	1.294538378715515e-09	7800	nan
60000	60	649.3925802707672	0.0	0.0	0.0	0.0	0.0	-0.41000728047126905	2.159027982956897	361.3953519897461	6.857653222551216e-05	30.544459252357484	3.390014171600342e-09	9360	nan
70000	70	756.673684835434	0.0	0.0	0.0	0.0	0.0	-0.4532304302775301	2.552901223445168	416.6248754272461	0.0006297795877118566	32.49356081485748	3.073364496231079e-09	10920	nan
80000	80	862.6573066711426	0.0	0.0	0.0	0.0	0.0	-0.4904943778747693	2.9160648399174214	436.2222947998047	3.199695204051367e-05	2293.3749987649917	1.6577541828155518e-09	12500	nan
90000	90	968.6131589412689	0.0	0.0	0.0	0.0	0.0	-0.5177480124924332	3.2592310559370183	483.29585299682617	0.00015229811050019036	71.36185574531555	-1.2107193470001221e-09	14060	nan
100000	100	1076.6511323451996	0.0	0.0	0.0	0.0	0.0	-0.5379936137147014	3.5917072656222175	534.0013658447266	0.0002687897929064089	83.86545938491821	1.8253922462463379e-09	15620	nan
110000	110	1184.065173149109	0.0	0.0	0.0	0.0	0.0	-0.552515938448254	3.9125990950750738	574.9026652832031	5.9906100940610774e-05	91.9669011926651	-6.128102540969849e-09	17180	nan
120000	120	1294.4937453269958	0.0	0.0	0.0	0.0	0.0	-0.5645332785199862	4.202952019039347	601.2932478637696	6.288589390820776e-05	89.60451773643494	7.227063179016113e-09	18740	nan
130000	130	1404.189007282257	0.0	0.0	0.0	0.0	0.0	-0.5737513376743737	4.527207829326391	611.5487910766601	0.0001947500004588516	93.37323971748351	-3.4458935260772707e-09	20300	nan
140000	140	1514.0531539916992	0.0	0.0	0.0	0.0	0.0	-0.5826869144273223	5.100132051557303	618.9456517333984	0.0001262814454015899	87.42232321739196	1.387670636177063e-09	21860	nan
150000	150	1622.896556377411	0.0	0.0	0.0	0.0	0.0	-0.5802309597328421	5.626151710629463	628.1952626037597	0.0014605105389810546	62.03285029411316	-1.0578054934740066e-06	23420	nan
160000	160	1734.3585381507874	0.0	0.0	0.0	0.0	0.0	-0.5612740712668747	6.06605956196785	600.0157732543945	0.004580209056169337	4304.767765235901	-5.4948031902313236e-09	25000	nan
170000	170	1844.0682983398438	0.0	0.0	0.0	0.0	0.0	-0.5707713959090179	6.423254166126251	601.4737384033203	0.0027666348111766935	39.99934976577759	-3.9394944906234745e-09	26560	nan
180000	180	1954.0057921409607	0.0	0.0	0.0	0.0	0.0	-0.5867840601580683	6.710530421257019	586.0131315307617	0.0022737705058516865	71.89663108825684	5.718320608139038e-09	28120	nan
190000	190	2060.2784073352814	0.0	0.0	0.0	0.0	0.0	-0.6066146405236795	6.926636497974396	585.8677713623047	0.0028989394145635216	88.45381004333495	6.444752216339111e-09	29680	nan
200000	200	2170.4346878528595	0.0	0.0	0.0	0.0	0.0	-0.5753947581324028	7.095369812488556	567.3823497009278	0.004265221600131991	1253.5379318618775	-4.204306751489639e-06	31240	nan
