steps	episodes	elapsed	mean	median	stdev	max	min	average_discriminator_loss	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
10112	79	76.99294829368591	0.0	0.0	0.0	0.0	0.0	-0.21075999073023557	-0.870082676410675	-38.67831799888611	0.6132619566321373	93.9713055419922	-0.05027141217142343	1280	nan
20096	157	162.23177647590637	0.0	0.0	0.0	0.0	0.0	-0.01625086553490837	-0.959485305680169	-44.5668698425293	0.23742187239974738	126.79263473510743	-0.012001982349902391	2880	nan
30080	235	247.45025396347046	0.0	0.0	0.0	0.0	0.0	0.10385178424563492	-0.7399686425924301	-11.498269936561584	0.007281601964263245	8.7941779088974	-0.004663258129730821	4480	nan
40064	313	333.0106155872345	0.0	0.0	0.0	0.0	0.0	-0.19796855750429676	-0.49928761790751625	7.8130204634666445	0.002035554338770453	3.049803578853607	-0.001708991825580597	6080	nan
50048	391	418.35563802719116	0.0	0.0	0.0	0.0	0.0	-0.6933429694611114	-0.23785096909462786	31.457018198013305	0.0017032892964198255	50.79820240020752	0.0021255138516426087	7680	nan
60032	469	503.47291922569275	0.0	0.0	0.0	0.0	0.0	-1.0930059329746291	0.06244841110410875	105.08038685989379	0.28053409431222825	310.49893936157224	-0.00604265796020627	9280	nan
70016	547	588.3807666301727	0.0	0.0	0.0	0.0	0.0	0.06664398680879094	0.4769029897391139	147.07114596557616	0.5542880010269582	846.3126168823242	-0.04719275618903339	10880	nan
80000	625	672.2364022731781	0.0	0.0	0.0	0.0	0.0	-0.25860876403004657	0.48421232780823725	101.5258450088501	0.10961453555035405	721.648224182129	-0.007993631400167941	12480	nan
90112	704	757.7319176197052	0.0	0.0	0.0	0.0	0.0	-0.7221063546768856	0.5640194195597856	69.4082550201416	0.008826180515170564	232.7470662689209	0.00095346013084054	14080	nan
100096	782	832.740692615509	0.0	0.0	0.0	0.0	0.0	-1.2143609879692085	0.628581262785398	59.93726304626465	0.0053107991653960195	181.5728530883789	-0.005689565464854241	15360	nan
110080	860	917.5497395992279	0.0	0.0	0.0	0.0	0.0	-0.8061701756870607	0.7391193877150006	128.721860458374	0.3694103634064086	804.555744934082	-0.02891698058694601	16960	nan
120064	938	1002.6113483905792	0.0	0.0	0.0	0.0	0.0	-0.2442909331464616	0.8084382545604403	80.60689066028596	0.36551209674053825	315.8332276916504	-0.04665641276165843	18560	nan
130048	1016	1087.5903463363647	0.0	0.0	0.0	0.0	0.0	-0.40883093998814	0.8142749305060577	63.64955438232422	0.15122912318608722	262.66545471191404	-0.0051219920627772805	20160	nan
140032	1094	1173.120299577713	0.0	0.0	0.0	0.0	0.0	-0.14957676633034134	0.8504502621876514	73.65831290054321	0.30832217886822766	331.462628326416	-0.023853345792740583	21760	nan
150016	1172	1257.7542431354523	0.0	0.0	0.0	0.0	0.0	-0.12944824905894348	0.846976969116814	47.84729936408996	0.25432652270898687	164.24125663757323	-0.02333371130749583	23360	nan
160000	1250	1342.8884341716766	0.0	0.0	0.0	0.0	0.0	-0.23169553693046327	0.8542738187974558	50.44306032943726	0.21851797538786194	169.65548484802247	-0.013773350212723016	24960	nan
170112	1329	1428.4055788516998	0.0	0.0	0.0	0.0	0.0	-0.12871710856829305	0.8742861042012382	57.60050667572021	0.30194345670309847	204.7495561981201	-0.02461012190207839	26560	nan
180096	1407	1503.7051928043365	0.0	0.0	0.0	0.0	0.0	-0.1261486418734421	0.8718775741852306	42.5611811876297	0.25129669869411736	136.92367515563964	-0.01953576935455203	27840	nan
190080	1485	1589.0573360919952	0.0	0.0	0.0	0.0	0.0	-0.15120852292882045	0.8664501158611687	45.02906061172485	0.23436481005593668	121.38558540344238	-0.010185994189232588	29440	nan
200064	1563	1674.098959684372	0.0	0.0	0.0	0.0	0.0	-0.11029620455895202	0.8762207539588904	51.86570094680786	0.27149350712134035	162.46438972473143	-0.02657119570299983	31040	nan
210048	1641	1759.183001756668	0.0	0.0	0.0	0.0	0.0	-0.12306728265353013	0.876018853004401	45.24062557220459	0.27169681223563386	120.19713554382324	-0.019444461669772862	32640	nan
220032	1719	1844.595963716507	0.0	0.0	0.0	0.0	0.0	-0.13237037342082475	0.8718579081322336	42.28018248558045	0.27008036186755635	105.95367641448975	-0.026542115546762942	34240	nan
230016	1797	1930.0650367736816	0.0	0.0	0.0	0.0	0.0	-0.1370136711228406	0.8637059590255376	35.53218322372437	0.2697782354957017	79.76043203353882	-0.0206948459148407	35840	nan
240000	1875	2015.1148746013641	0.0	0.0	0.0	0.0	0.0	-0.14466533826262457	0.846439126580476	26.00042529582977	0.282339106340718	37.98409520149231	-0.022704990692436696	37440	nan
250112	1954	2100.719654083252	0.0	0.0	0.0	0.0	0.0	-0.14041887575172587	0.8296364642198762	23.522293013572693	0.2501619953560148	33.24873330116272	-0.020926624964922667	39040	nan
260096	2032	2185.462836742401	0.0	0.0	0.0	0.0	0.0	-0.1689932110994705	0.8208983177869162	30.088572292327882	0.24177887570756137	60.82155206680298	-0.02371330274268985	40640	nan
270080	2110	2260.2545256614685	0.0	0.0	0.0	0.0	0.0	-0.19409425771352834	0.8200406931404678	39.2571001701355	0.24494280975015134	96.08487060546875	-0.019959819270297885	41920	nan
280064	2188	2345.228187561035	0.0	0.0	0.0	0.0	0.0	-0.1914787297064904	0.8174431059845065	38.05115290641785	0.28496550157805906	93.16488512039184	-0.023389696897938846	43520	nan
290048	2266	2431.1398849487305	0.0	0.0	0.0	0.0	0.0	-0.20829153107933235	0.8059720655817354	27.45457159614563	0.27117582398606466	45.422167015075686	-0.022179212644696234	45120	nan
300032	2344	2516.881947994232	0.0	0.0	0.0	0.0	0.0	-0.19071034941240214	0.7915836065299554	21.346206013679506	0.25547984804007867	29.301128330230714	-0.017942085061222315	46720	nan
