steps	episodes	average_discriminator_loss	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates
12288	12	-2.193480314263608	-2.0091925660769143	-32.06592045211792	0.6498580514192581	84.53043161392212	-0.06699673634022474	1920
24576	24	-5.701264975499361	-5.656056851148605	-290.60483528137206	0.6077955866456032	1743.548547668457	-0.05838681960478425	3840
36864	36	-4.830657904540189	-6.991403983698951	-556.6398249816895	0.5509043875299394	3414.879835205078	-0.05389346906915307	5760
49152	48	-3.33302777542267	-6.680068915088971	-576.8119895019531	0.5177455835826695	2766.513137817383	-0.06239620620384812	7680
61440	60	-3.174261287990026	-6.095628345012665	-473.5381011352539	0.5218907088786363	1810.0922625732421	-0.05331321083009243	9600
73728	72	-3.8007741715628653	-5.668691850370831	-399.2961049499512	0.5067655978128314	1314.556578979492	-0.05922680750489235	11520
86016	84	-3.8212174612954257	-5.414954801400502	-371.098794128418	0.48861027488484976	1099.261111755371	-0.05467968347482383	13440
98304	96	-2.5748890539067797	-5.178594780464967	-350.3490424499512	0.483717755028978	977.7191784667968	-0.0470426616165787	15360
110592	108	-3.898216957430355	-4.98565333198618	-324.9507057495117	0.47672968212794514	964.3699142456055	-0.0615801989659667	17280
122880	120	-2.9511317935872357	-4.96557911435763	-352.449791595459	0.4449106261031702	1141.0008686828614	-0.04632672720588744	19200
135168	132	-2.030259220502339	-4.865093543674007	-359.3542239379883	0.4330087101967074	1066.6153703308105	-0.04125593679025769	21120
147456	144	-1.7234724177657628	-4.773329127166006	-345.7987435913086	0.4160633853317704	998.1731399536133	-0.03943245413713157	23040
159744	156	-3.1494338760147804	-4.720544963310926	-374.9804449157715	0.47783893899340185	1365.813917388916	-0.05246440716087818	24960
172032	168	0.6644078634558246	-4.693497335626965	-298.8653247375488	0.07606352783367037	608.3216946792603	-0.02736961968243122	26880
184320	180	-6.305283195564523	-4.969510408242543	-514.9062855529785	0.49383943212032316	3985.6806805419924	-0.0654211260844022	28800
196608	192	-1.5128997513503126	-5.349525880068541	-647.2874454345703	0.3556049470348516	3732.684239501953	-0.04507113637402654	30720
208896	204	-0.2874972520316078	-5.341831311291339	-547.2115420532226	0.30553162583103405	2637.8493267822264	-0.038823106009513136	32640
221184	216	-0.30631665159988913	-5.238759929383242	-448.3551944580078	0.2924300292142434	1418.6128688049316	-0.022090692333877088	34560
233472	228	-0.4690588483614847	-5.051068154343388	-328.9848576660156	0.2845308019739969	748.8479232788086	-0.030966100618243217	36480
245760	240	-0.3278227798998123	-4.853620915611585	-229.73352365112305	0.31670601690124023	391.61403366088865	-0.04118388746865094	38400
258048	252	-0.09055913929826057	-4.681008222557249	-173.74161616516113	0.3316465120550129	247.50966730117798	-0.037554440423846244	40320
270336	264	-0.17983688675874146	-4.570201448418877	-172.76848428344726	0.35244818726734956	315.79304389953614	-0.04064678135327995	42240
282624	276	-1.0495231677531265	-4.559482537317967	-257.61806729125976	0.37539403898455204	625.4194510650635	-0.03758188474923372	44160
294912	288	-0.36669564995082327	-4.556169679595365	-300.9368868560791	0.32141549252171536	783.4973129272461	-0.03278217988088727	46080
307200	300	-0.413486069703009	-4.507223702271779	-294.5540942077637	0.2879694617167115	727.4068812561035	-0.033835152592509986	48000
319488	312	-0.6230623580381507	-4.41462996449226	-255.41423124694825	0.3004055791973369	534.9872268295288	-0.0370383613742888	49920
331776	324	-0.36343334226857404	-4.307396495047911	-210.3791618499756	0.3137136503023212	304.2450980758667	-0.023807747159153222	51840
344064	336	-0.3037634024947765	-4.222709957332838	-183.04721141052246	0.3352585784307448	287.8042842102051	-0.025750992456451058	53760
356352	348	-0.3971081083858153	-4.172492260905518	-200.08672636413573	0.33819153991824713	394.01257305145265	-0.036686897221952675	55680
368640	360	-0.967344186056871	-4.184800267881817	-291.26355699157716	0.35513605951549837	797.8043968200684	-0.03771254340186715	57600
380928	372	-0.9420137896521482	-4.204582919997554	-351.6493859863281	0.3657356307373848	1065.8367431640625	-0.04181910490617156	59520
393216	384	-0.6113435770390206	-4.2209998400261	-399.10420755004884	0.38494042177079246	1378.073711090088	-0.04305561757646501	61440
405504	396	-0.7463210578252328	-4.220100107217076	-473.53792755126955	0.4437971143973991	1938.1148663330077	-0.04937413801439106	63360
417792	408	-1.3987704753710424	-4.2753851068954845	-227.71757582092286	0.007630319554999005	4005.895341796875	-0.04645426988601684	65280
430080	420	-2.5687265141406095	-4.56365597872507	-971.1834983520508	0.4954622236820869	5811.885070800781	-0.07010933026671409	67200
442368	432	-2.4883173210658134	-4.7868994060489864	-453.76453952026367	0.02038013286378009	6524.478537597656	-0.05574616821482778	69120
454656	444	-3.5025459213601424	-4.80427709194991	-335.73882189941406	0.00018118148431115345	957.7137034225464	-0.004173245392739773	71040
466944	456	-4.26065002380684	-4.733811680162162	-277.30302424621584	1.286054330697792e-07	593.5412307453156	-0.005443787723779678	72960
479232	468	-4.55799882447254	-4.632171507065113	-193.05842263793946	3.4956913205794245e-07	261.8704514789581	-0.008626987505704165	74880
491520	480	-4.87677068366576	-4.50562914153561	-103.64497365951539	8.77219738806293e-08	58.257453184127804	0.005733842924237251	76800
503808	492	-5.422378930940293	-4.355325669201651	-8.0331305975914	7.849356760520667e-09	10.923023652434349	0.001525419969111681	78720
516096	504	-6.199495457250625	-4.18153963335568	95.17969228363037	3.95077332500149e-10	138.69128028869628	-0.003480797316879034	80640
528384	516	-6.710825191739946	-3.9924537279866925	196.46439002990724	4.91229236211936e-10	404.41160324096677	-0.005050551220774651	82560
540672	528	-6.984640941694379	-3.7962373218809566	284.2319926147461	2.3474276766779716e-08	809.0712481117248	0.008964885752648115	84480
552960	540	-7.316335261296481	-3.599519395303947	350.2525046386719	3.3037937380314313e-09	1044.5154024124145	-0.007079167794436216	86400
565248	552	-7.492141447303816	-3.405524424371728	396.04596182250975	3.1629265516101717e-09	1399.8334208488463	-0.0017208263278007507	88320
577536	564	-7.67095156066306	-3.216094566073189	430.92872802734377	5.952151882028815e-09	1734.1915678405762	0.005710830390453339	90240
589824	576	-7.912164334340021	-3.0320584090271345	453.7564452209473	2.7754523104077324e-06	1732.949218559265	-0.0017751661874353885	92160
602112	588	-8.128317574648186	-2.853233682384499	464.23963208007814	2.2213076851269243e-08	1849.6549229812622	0.0009697512909770012	94080
614400	600	-8.218528976710513	-2.6785216660549245	483.8119256591797	6.86447221388152e-05	1911.5904037475586	-0.004704246800392866	96000
626688	612	-8.393151318691672	-2.5084103551614128	495.2919114074707	2.8974311879818538e-05	2257.0712817001345	0.004152273144572973	97920
638976	624	-8.34796208978258	-2.3421992593898606	503.7544142150879	0.0035034951233120274	2151.8575913238524	-0.0005974752269685269	99840
651264	636	-8.25453091751784	-2.179937792578771	512.0045539550781	0.00760944955066688	2043.6780492401124	-0.005921216364949942	101760
663552	648	-1.3294449590528383	-1.9872106839155341	771.31522265625	0.1471180707960237	5176.673795166015	-0.018819877970963718	103680
675840	660	-0.41070491139870136	-1.8169505620770383	809.5858298950195	0.18027967426636257	4783.527883911132	-0.02335944974794984	105600
688128	672	0.08907896161504322	-1.6815515454370706	713.1055654296875	0.187926989434375	4416.347808227539	-0.015767996357753875	107520
700416	684	-0.2097478724635439	-1.5831763043084688	621.0702058715821	0.22389108390363802	2526.814465637207	-0.024745750203728677	109440
712704	696	-1.1903985576073173	-1.5351578424759638	421.43841720581054	0.2226489888418403	968.6108692932129	-0.03686500806361437	111360
724992	708	-1.3443945741830394	-1.5238633337036027	230.0294617614746	0.23230885297311382	293.5454288482666	-0.027087535094469786	113280
737280	720	-1.3387135463886661	-1.5165016284626391	229.19818907165526	0.009985094315995166	201.1223449230194	-0.019662990528158845	115200
749568	732	-5.607559540040791	-1.5004192868583515	56.5180178527832	0.024063457031245624	23.989283814430237	-0.008014122508466243	117120
761856	744	-7.344933794716373	-1.4350661242240539	82.00703131103515	0.0012402703447759388	112.07043234825134	0.0005517688021063805	119040
774144	756	-7.814498346647247	-1.339600720516746	194.1548801422119	0.003998584720254261	414.78058599472047	-0.0019696597103029487	120960
786432	768	-5.859627781467513	-1.2154762283316813	413.1657206115723	0.015224943921015687	1681.3123587799073	-0.003397708730772138	122880
798720	780	-1.3694526417439339	-1.0736450449969523	667.2829338989258	0.03716109004045343	3967.558568725586	-0.005306529430672526	124800
811008	792	-0.8501457727336091	-0.9575164978288941	701.1900664672852	0.04497550112486226	3931.1990325927736	-0.01265832306817174	126720
823296	804	-0.581776079902309	-0.8573838333918977	654.7060154418946	0.06612636084422273	3167.092133331299	-0.005478367730975151	128640
835584	816	-0.4629792401958257	-0.76917232582163	575.9256926269532	0.05758758980288744	2700.404580078125	-0.002339580412954092	130560
847872	828	-0.5956943030586699	-0.691929919510216	513.5939500427246	0.07263552463721348	1879.6727191162108	-0.014790894743055106	132480
860160	840	-0.7534783607469872	-0.6252711464429186	462.29491757202146	0.07391134232706144	1560.899024581909	-0.012989489547908305	134400
872448	852	-0.7764594831829891	-0.5778923368544926	369.3395690002441	0.07195694111093752	987.9176155853271	-0.01077725799754262	136320
884736	864	-0.6270091174596455	-0.5291083331771747	325.85119107055664	0.0608799631294666	688.7063772583008	-0.016334462575614453	138240
897024	876	-0.9396393826284911	-0.4731103533785365	330.4856039428711	0.06654229452604507	936.9729571533203	0.0020411371905356647	140160
909312	888	-0.8696443397437688	-0.3995394984109176	371.7599364013672	0.05302162881947668	1271.7451963424683	-0.005561057236045599	142080
921600	900	-0.7955060681145405	-0.32299969548980395	438.90935900878907	0.06466118195117783	1652.7675570678712	-0.006345738135278225	144000
933888	912	-0.9817993720136583	-0.25809309548257214	446.8325620117188	0.06614023019681725	1570.8075170135498	-0.00597647869028151	145920
946176	924	-0.8707513540389482	-0.20370506087229365	416.00763540649416	0.05920735406298112	1322.170596008301	-0.0059291260037571195	147840
958464	936	-0.8915233690775931	-0.15318373210218728	386.0099271240234	0.06727427244350721	1202.5678480529784	-0.0014858783408999443	149760
970752	948	-0.8962771205026656	-0.10564365550749916	357.7289898071289	0.05744339162454864	970.4632200622559	-0.012980804909020663	151680
983040	960	-0.941702997993445	-0.05531320554825167	356.27151849365237	0.04999205038713529	1000.7499478530884	-0.012201436879113316	153600
995328	972	-0.9633312943659257	0.0021546663785422288	378.97807717895506	0.04486169236357761	1154.4723809432983	-0.012689453382045031	155520
1007616	984	-1.0356902631961276	0.06259937613172745	411.1541596374512	0.04341998603967873	1542.3639739990235	0.007035218924283981	157440
1019904	996	-1.1178203715677373	0.12341889240835087	436.99048983764646	0.0535831809527772	1617.4966466522217	-0.0033181064389646055	159360
1032192	1008	-0.9992199358809739	0.18137725588998624	452.6737461853027	0.05235791524820614	1657.2713134002686	-0.010076110903173684	161280
1044480	1020	-1.0758680385018233	0.23159193541197215	432.89393450927736	0.04367200617565841	1456.222247390747	-0.011978780906647444	163200
1056768	1032	-1.082965111125959	0.27904691268480564	420.5883474121094	0.04078367420368598	1453.088059234619	-0.003999824691563844	165120
1069056	1044	-1.214534067027038	0.3211085797926247	399.77130572509765	0.04579411988412526	1232.4244637298584	-0.006390471756458282	167040
1081344	1056	-1.3618886873766314	0.3548961183987558	357.5378308105469	0.042749106355057166	955.7045597076416	-0.008740162961184978	168960
1093632	1068	-1.1551414767068344	0.38930745086587326	333.8532340698242	0.042800198888137735	970.6921069335938	-0.002461878499016166	170880
1105920	1080	-1.1140397352206055	0.4185502424698185	322.45439901733397	0.04842595935342514	780.9416567993164	-0.0011952416971325874	172800
1118208	1092	-1.275777282994939	0.43641645757433695	274.08470188903806	0.05944324655098407	485.58724388122556	-0.008660909365862607	174720
1130496	1104	-1.0731486317792442	0.44958492696447216	216.68017184448243	0.046364865320526374	362.60519214630125	-0.007106890277937055	176640
