steps	episodes	elapsed	mean	median	stdev	max	min	average_discriminator_loss	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
10112	79	83.76895546913147	0.0	0.0	0.0	0.0	0.0	-0.611986802965519	-1.1413274928927422	-52.90110353279114	0.612746287971735	92.65029228210449	-0.06382196651771664	1280	nan
20096	157	176.2263114452362	0.0	0.0	0.0	0.0	0.0	-0.8510383168321568	-1.8671762115425534	-113.44809987258911	0.49172912106662986	464.036290435791	-0.06211536226794124	2880	nan
30080	235	268.6658179759979	0.0	0.0	0.0	0.0	0.0	-0.2955854342943057	-1.9802614940064294	-107.79578573226928	0.38596346937981435	723.4042602539063	-0.03658011302351952	4480	nan
40064	313	360.236531496048	0.0	0.0	0.0	0.0	0.0	-0.11285226562502794	-1.9564653305630935	-112.958320520401	0.2713235317608342	307.96101623535156	-0.030150465834885835	6080	nan
50048	391	452.16197061538696	0.0	0.0	0.0	0.0	0.0	-0.2708798675737635	-2.15165289118886	-130.36203091812135	0.17536410655465443	1829.239206237793	-0.05267553398385644	7680	nan
60032	469	543.2794501781464	0.0	0.0	0.0	0.0	0.0	-1.1998875686093233	-2.7403416376689385	-246.11981321716308	0.1639933660682291	5586.397775878906	-0.06564981488510967	9280	nan
70016	547	634.8707213401794	0.0	0.0	0.0	0.0	0.0	-0.5254074675777519	-3.268224287559004	-100.57342757034301	0.008126760614325577	197.94694946289061	-0.004724496826529503	10880	nan
80000	625	726.626451253891	0.0	0.0	0.0	0.0	0.0	-0.3157174474615604	-3.0998094349335403	-50.70611814880371	0.0010103636888849307	67.12144294738769	0.0002092406013980508	12480	nan
90112	704	819.4543421268463	0.0	0.0	0.0	0.0	0.0	-0.5820731148920022	-2.8027793671935797	-6.287084961861372	2.8664836248512113e-05	15.0975576877594	0.003503775279968977	14080	nan
100096	782	901.2833335399628	0.0	0.0	0.0	0.0	0.0	-0.6964595554978587	-2.5432976467224457	24.547930720865725	2.8870533009006784e-05	22.382975730895996	-0.001729731410741806	15360	nan
110080	860	993.2058305740356	0.0	0.0	0.0	0.0	0.0	-0.8030418084757402	-2.2121658523408874	49.00522371482849	4.596584117952237e-05	40.5671053314209	-0.0023740505520254375	16960	nan
120064	938	1084.0667748451233	0.0	0.0	0.0	0.0	0.0	-0.8829433942558244	-1.8915138549075043	64.45963241958619	1.402339618165797e-05	41.59773530960083	0.004381202766671777	18560	nan
130048	1016	1174.9866206645966	0.0	0.0	0.0	0.0	0.0	-1.0165382186295464	-1.5828519828972363	87.65544861221314	6.016060782324519e-05	51.67679557800293	-0.0013604355417191983	20160	nan
140032	1094	1265.7478272914886	0.0	0.0	0.0	0.0	0.0	-1.0775347553356551	-1.285414686645655	97.42186863708496	1.7236487303643515e-05	53.67841625213623	-0.001141052832826972	21760	nan
150016	1172	1356.182800769806	0.0	0.0	0.0	0.0	0.0	-1.2060236689755692	-1.0052022163386214	109.63188475036621	1.4315988602812099e-05	72.15277248382569	0.0030389428324997425	23360	nan
160000	1250	1446.5282628536224	0.0	0.0	0.0	0.0	0.0	-1.298582613829989	-0.7404755947108452	116.08294788742066	7.600201781295633e-06	91.85509685516358	0.0017846329044550657	24960	nan
170112	1329	1537.9389498233795	0.0	0.0	0.0	0.0	0.0	-1.3667451595980673	-0.49048725210399513	128.81244513702393	8.842162091377732e-06	93.33622659683228	0.0014220447093248366	26560	nan
180096	1407	1619.228699207306	0.0	0.0	0.0	0.0	0.0	-1.4762373596145772	-0.30247840499398354	136.69800856781006	8.975400512156172e-06	117.67244705200196	-0.002170194871723652	27840	nan
190080	1485	1710.452309846878	0.0	0.0	0.0	0.0	0.0	-1.5110940782721154	-0.0780260469764471	144.77768282318115	1.174646153571439e-05	110.35309566497803	-0.005857516564428806	29440	nan
200064	1563	1801.3462872505188	0.0	0.0	0.0	0.0	0.0	-1.628784972473979	0.12766119768631826	147.40867456817628	1.4738817315759597e-05	136.73549228668213	-0.0008833041973412037	31040	nan
210048	1641	1893.0362803936005	0.0	0.0	0.0	0.0	0.0	-1.7138291944563389	0.3215676139236665	169.3317043609619	0.007087532595773979	139.7281294631958	-8.358749561011791e-05	32640	nan
220032	1719	1984.7323553562164	0.0	0.0	0.0	0.0	0.0	-0.3342810548363341	0.5277528620072615	289.0493250045776	0.15865418093757921	3318.5608825683594	-0.02890960892662406	34240	nan
230016	1797	2076.6156957149506	0.0	0.0	0.0	0.0	0.0	-0.20337355620869493	0.6396113795760486	156.3128415336609	0.21504493255641738	856.0845266723633	-0.040965707134455444	35840	nan
240000	1875	2168.6831719875336	0.0	0.0	0.0	0.0	0.0	-0.2478136398693314	0.696996800092041	120.41118038415908	0.11743037559209835	454.09770935058594	-0.021900250250473617	37440	nan
250112	1954	2261.1625509262085	0.0	0.0	0.0	0.0	0.0	-0.2718974342134898	0.7574419615576502	110.5519762096405	0.11983272208570955	386.47456420898436	-0.018578067291527986	39040	nan
260096	2032	2353.004637002945	0.0	0.0	0.0	0.0	0.0	-0.20381495667609853	0.8213196619171795	113.80541545882821	0.14959754604363965	431.36243850708007	-0.026672090925276278	40640	nan
270080	2110	2434.293153524399	0.0	0.0	0.0	0.0	0.0	-0.20046110701328143	0.8619088991793967	90.48768107765913	0.17344829628175382	402.4381979370117	-0.028988512754440306	41920	nan
280064	2188	2525.9918217658997	0.0	0.0	0.0	0.0	0.0	-0.2202911856083665	0.9066564021632075	93.9014838322401	0.1680658269592368	426.71552642822263	-0.03474325792863965	43520	nan
290048	2266	2617.885336637497	0.0	0.0	0.0	0.0	0.0	-0.23226817598147317	0.951037642116665	107.31554488995671	0.15525822343799123	333.61248458862303	-0.023632191093638538	45120	nan
300032	2344	2709.989065170288	0.0	0.0	0.0	0.0	0.0	-0.2451139590279199	0.9905735606914514	95.09589430427552	0.16793370696567098	215.72740982055663	-0.033689818922430274	46720	nan
310016	2422	2802.223082780838	0.0	0.0	0.0	0.0	0.0	-0.2267047168329591	1.0208480935913837	90.84765151877701	0.1546045330549726	285.722700881958	-0.029925493225455284	48320	nan
320000	2500	2893.919153690338	0.0	0.0	0.0	0.0	0.0	-0.24883956266869792	1.0573373430718978	104.01694586235284	0.16161788829046736	225.62931442260742	-0.025150064527988434	49920	nan
330112	2579	2985.970860004425	0.0	0.0	0.0	0.0	0.0	-0.22984946348675295	1.096627667222334	104.00897057008743	0.15803343254821492	302.3387794494629	-0.023684697337448598	51520	nan
340096	2657	3077.9219043254852	0.0	0.0	0.0	0.0	0.0	-0.25670778219553175	1.1321633028607052	103.92835469068586	0.16193480852724496	330.80567443847656	-0.030734341572970152	53120	nan
350080	2735	3159.7469918727875	0.0	0.0	0.0	0.0	0.0	-0.24049816022871529	1.1573930622461963	110.39925753319264	0.17139527633865737	307.90125244140626	-0.028183106314390898	54400	nan
360064	2813	3251.491406917572	0.0	0.0	0.0	0.0	0.0	-0.2725017445955891	1.186524364735399	103.50160175937414	0.1758024563150343	237.44144592285156	-0.031139610139653086	56000	nan
370048	2891	3343.4304842948914	0.0	0.0	0.0	0.0	0.0	-0.27323337565455585	1.2168557201408678	109.53556167650223	0.17238511438448864	327.58397094726564	-0.02938308985903859	57600	nan
380032	2969	3435.280634880066	0.0	0.0	0.0	0.0	0.0	-0.2616650718495948	1.2449716897832381	103.38094550357759	0.16257558268842512	301.50856628417966	-0.026075692027807237	59200	nan
390016	3047	3527.1286811828613	0.0	0.0	0.0	0.0	0.0	-0.2843034978247015	1.270755727157781	102.88366675508023	0.17790249413141282	269.94366577148435	-0.02923786586150527	60800	nan
400000	3125	3619.0205166339874	0.0	0.0	0.0	0.0	0.0	-0.2844678092561662	1.2938211778417612	90.57085067882389	0.18207586725921465	235.92245262145997	-0.027420580163598062	62400	nan
410112	3204	3711.6183121204376	0.0	0.0	0.0	0.0	0.0	-0.29083370470779485	1.3158361930772662	96.99093443703651	0.1864638702709599	218.99475051879884	-0.03190690414980054	64000	nan
420096	3282	3803.8218882083893	0.0	0.0	0.0	0.0	0.0	-0.3143021500397008	1.3359632243107005	101.65121175074577	0.1717148858680157	168.71611694335937	-0.03072035849094391	65600	nan
430080	3360	3895.4797916412354	0.0	0.0	0.0	0.0	0.0	-0.32535979808308185	1.360971965782699	104.1804386484623	0.1759974634035725	232.361279296875	-0.02725376537069678	67200	nan
440064	3438	3977.0961225032806	0.0	0.0	0.0	0.0	0.0	-0.31640024372714104	1.382005300024681	107.75539138308167	0.1668998295739002	246.38718574523926	-0.031922401655465366	68480	nan
450048	3516	4068.96155333519	0.0	0.0	0.0	0.0	0.0	-0.3198228257073788	1.4043879308588973	113.04986292266845	0.16397704225814777	214.5733171081543	-0.026250952603295446	70080	nan
460032	3594	4161.069933652878	0.0	0.0	0.0	0.0	0.0	-0.3187031715714838	1.4229318622965366	102.10160034263134	0.17387730791256034	289.26256462097166	-0.0225385395437479	71680	nan
470016	3672	4253.140661478043	0.0	0.0	0.0	0.0	0.0	-0.32805592250986954	1.4386864308121423	97.60805609285832	0.16587382976639675	244.4414771270752	-0.0232850999571383	73280	nan
480000	3750	4345.719244718552	0.0	0.0	0.0	0.0	0.0	-0.3424146711169742	1.4579075703190432	111.97267320308089	0.16748569842095276	218.0064895629883	-0.02678662964142859	74880	nan
490112	3829	4438.7924864292145	0.0	0.0	0.0	0.0	0.0	-0.35479306924249976	1.4765416703900034	108.19651491859555	0.1527014044788375	182.85201942443848	-0.024865497658029197	76480	nan
500096	3907	4531.1013770103455	0.0	0.0	0.0	0.0	0.0	-0.3537297700049821	1.494841724725776	106.73299187719822	0.14841552336429048	235.7814476776123	-0.02455135479569435	78080	nan
510080	3985	4623.688997030258	0.0	0.0	0.0	0.0	0.0	-0.34985992922086734	1.5178798964643574	113.87262936353683	0.15938567190437333	201.2867237854004	-0.01812586335465312	79680	nan
520064	4063	4705.935061454773	0.0	0.0	0.0	0.0	0.0	-0.3442941321784165	1.5326945127646914	108.00266303634643	0.16983033759025237	302.9306282043457	-0.023238255009055138	80960	nan
530048	4141	4797.886168718338	0.0	0.0	0.0	0.0	0.0	-0.37145597640576306	1.5487155457741992	111.97457856559754	0.16011990518103267	292.00722137451174	-0.022725094724446535	82560	nan
540032	4219	4889.817219734192	0.0	0.0	0.0	0.0	0.0	-0.3762727677614894	1.5644000406897567	113.2359471693039	0.16116613456733273	285.61636001586913	-0.022271575294435023	84160	nan
550016	4297	4981.741462469101	0.0	0.0	0.0	0.0	0.0	-0.386955812578788	1.5818094296186274	115.53119552761316	0.17279859677964124	265.90577209472656	-0.026093150386586786	85760	nan
560000	4375	5073.421010732651	0.0	0.0	0.0	0.0	0.0	-0.40456971567543226	1.5998081755670872	107.46285397100449	0.17218734461427904	262.46234603881834	-0.025779758850112557	87360	nan
570112	4454	5165.195074796677	0.0	0.0	0.0	0.0	0.0	-0.4077270300548989	1.6162970551430322	121.46108020591736	0.15558856810926228	269.6298077392578	-0.021856293976306916	88960	nan
580096	4532	5256.968547821045	0.0	0.0	0.0	0.0	0.0	-0.39968716640269847	1.6354861584600626	124.42294132947922	0.1509603987123337	160.07432720184326	-0.022024977952241898	90560	nan
590080	4610	5348.091579914093	0.0	0.0	0.0	0.0	0.0	-0.42683419777895326	1.6547111194942974	127.49393586190045	0.15334781524997199	294.219454574585	-0.021508426535874606	92160	nan
600064	4688	5439.086499452591	0.0	0.0	0.0	0.0	0.0	-0.40162367015657946	1.6733638195403606	125.90109893491864	0.1528247746593297	232.32735855102538	-0.021967927049845456	93760	nan
