steps	episodes	average_discriminator_loss	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates
10240	10	-1.4787042045346461	-0.6805234476923943	-21.482845630645752	0.6576928421258926	5.530658509731293	-0.05231123441830277	1280
20480	20	-7.804413927424699	-3.1957092493772508	-135.0524742050171	0.6274074554890394	449.05231643676757	-0.04474438264966011	3200
30720	30	-8.040340736364946	-4.111677525298936	-314.5253519592285	0.5705303948372602	1008.6742620849609	-0.06389863750431686	4480
40960	40	-6.599381675133482	-4.198240481317043	-346.34237585449216	0.5314954119957983	1086.2981924438477	-0.053642328977584836	6400
51200	50	-5.947540309639647	-4.029000251243512	-321.01009506225586	0.4939667104706168	937.0930131530762	-0.04299329263158143	7680
61440	60	-5.517881180495955	-3.758370565374692	-291.52443255615236	0.4729613961968571	717.3224305725098	-0.045403972305357455	9600
71680	70	-6.422403063107282	-3.651166655561503	-277.65433041381834	0.4811702777724713	676.0269548797608	-0.05540366562549025	10880
81920	80	-6.155974134258926	-3.5920728974044325	-278.7588685760498	0.4642484269323759	686.8562016296387	-0.04710529901087284	12800
92160	90	-3.7989722106195987	-3.5278687849640846	-271.7072757873535	0.43112821454973893	661.2053079986572	-0.04367356169037521	14080
102400	100	-1.196316168067482	-3.379319366812706	-271.30997186279296	0.431469824912725	467.27008758544923	-0.042673976942896846	16000
112640	110	-5.278469484549015	-3.298161757764993	-143.92144184875488	0.013295185262802989	580.9465432739257	-0.05948957402259111	17280
122880	120	-1.571071428597439	-3.2013898129264513	-89.6905135345459	0.011426657357253135	300.8627307510376	-0.06014637355692685	19200
133120	130	-3.1840201052357444	-3.2124283160082996	-407.8105406188965	0.5844058720096946	741.7922513580322	-0.0706769352313131	20480
143360	140	-1.0419410631177015	-3.237542833174978	-36.91582292938232	0.0018788327804068103	647.3824541473389	-0.07467600859701634	22400
153600	150	-2.5641368657615966	-3.4044730208210043	-942.8085275268554	0.6276619541198015	2126.8482157897947	-0.07208750057034194	23680
163840	160	-2.3351645068256186	-3.634598207101226	-82.10458868408203	0.0010623798994638491	5943.182581176758	-0.06403010690584779	25600
174080	170	-1.9942936468035914	-3.6950297919767245	-113.1614961013794	9.087888837439096e-05	105.7090838432312	0.0014664836041629315	26880
184320	180	-1.6270338679808192	-3.609353372454643	-136.0486438369751	2.4783025175452167e-06	197.7275455379486	-0.0011449245736002921	28800
194560	190	-1.6391577016762457	-3.5574389819769148	-158.64268089294433	6.116362804675646e-08	206.41871707439424	0.0016150468587875367	30080
204800	200	-1.7262258906480856	-3.4746918627619743	-164.51767854309082	6.400764890401867e-08	231.13511826992035	-0.007395844496786594	32000
215040	210	-1.7363120834538712	-3.4201058238171615	-163.82923876953126	4.830015475246086e-06	203.14704853057862	0.0037452511861920355	33280
225280	220	-1.8027846098653972	-3.334219351410866	-155.79185061645506	4.219459557202043e-07	179.99794156312942	0.0017640563845634461	35200
235520	230	-1.8240528203225694	-3.2777951681300213	-144.2383334197998	4.381219348577048e-07	163.75577476501465	0.0004563068225979805	36480
245760	240	-1.8661124992892146	-3.1935588476558525	-135.80817071533204	5.367252428645664e-06	136.0303434753418	-0.0032615288347005843	38400
256000	250	-1.91916275388794	-3.138066162745799	-122.53706889343262	5.653050012349725e-08	123.0229578870535	-0.005418873485177755	39680
266240	260	-1.9624367044176907	-3.0568386717484546	-116.26453297424317	4.7147574732592234e-08	105.1815306532383	-0.004083351716399192	41600
276480	270	-1.9997858505672774	-3.0055301489669883	-110.3500747680664	5.821323667604128e-08	91.17949194908142	0.006083966698497534	42880
286720	280	-2.0556051269122397	-2.933044370370252	-107.44879920959472	5.376128359348836e-08	88.98698008060455	0.0007633565552532673	44800
296960	290	-2.0995354901212266	-2.8881342375857963	-102.02619007873535	2.1652312913972986e-08	84.25222441673279	-0.0007887435145676136	46080
307200	300	-2.1804935594964774	-2.8251487571001053	-103.4428431854248	2.6949196517370154e-08	82.74103331401945	0.0038252886198461055	48000
317440	310	-2.261917738322634	-2.7867063576137863	-104.46350875091552	2.0713789918940484e-08	87.06377252101898	-0.0025395629182457923	49280
327680	320	-2.4310438073342664	-2.73299636375159	-104.94004126739502	8.167837446185645e-09	94.17554776310921	-0.00403519919142127	51200
337920	330	-2.536600070382003	-2.7012277796137623	-105.93538902282715	1.1090990224524398e-08	95.41164957523345	-0.005966663714498281	52480
348160	340	-2.907875890384428	-2.6536138196201886	-105.76400952911376	8.675935438425489e-07	94.82308598756791	-0.0037761149741709233	54400
358400	350	-3.142562440660782	-2.623479841598149	-106.88488315582275	6.887720933065596e-09	91.18946396827698	0.0015745455771684646	55680
368640	360	-3.513373844536953	-2.5816058435373836	-109.75622589111327	7.068756480927183e-09	106.49160654187203	-0.006229592822492123	57600
378880	370	-3.7372408241173254	-2.55562098113739	-115.01574742889404	7.88675001615969e-09	100.69609517335891	0.007319222129881382	58880
389120	380	-4.082571877270006	-2.520496771053264	-119.96731848144532	8.595303714218473e-07	123.96768773674965	0.0033017888106405737	60800
399360	390	-4.235360796054826	-2.500603266444403	-127.17233425140381	6.926473262560961e-07	136.52699565529824	-0.003772021057084203	62080
409600	400	-4.583083203570917	-2.4722650490701197	-129.49813178253174	9.24983801823249e-09	153.3863930249214	-0.009570808336138725	64000
419840	410	-4.830127827540971	-2.4535850530453756	-134.4767918395996	9.990804547660649e-09	165.39268440723419	-0.008173055797815323	65280
430080	420	-4.980622737627477	-2.4294266983157113	-137.23976023864745	5.482220640787153e-07	163.95399837970734	0.001298847608268261	67200
440320	430	-5.203173083850182	-2.415035551814275	-147.16724799346923	5.479510695237336e-07	178.74715321063996	-0.0012713321670889855	68480
450560	440	-5.430100010192953	-2.397413652457974	-155.05778323364257	1.4418054496578132e-08	218.47378941059114	-0.006184796672314406	70400
460800	450	-5.549309893699363	-2.3879604902384535	-163.84055333709716	1.3313329459093347e-08	231.76302577972413	0.0018669092748314143	71680
471040	460	-5.731554421669804	-2.376352403345315	-175.5892568283081	2.045097733832569e-08	270.1032386112213	0.0017165778763592243	73600
481280	470	-5.848309856733307	-2.3700272037178025	-186.34936410522462	2.7484612675747208e-08	277.23386652469634	0.007112946659326554	74880
491520	480	-6.090801993854344	-2.3622117100904387	-190.8165161895752	3.4368900584532695e-08	295.4620297908783	0.010324417017400264	76800
501760	490	-6.284978122452274	-2.357855474240467	-198.06181550598146	4.63375368580363e-08	301.96536220550536	0.009116139868274331	78080
