steps	episodes	average_discriminator_loss	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates
10240	20	-1.0761714572445489	-0.3025954067707062	-10.555459823131562	0.657792782574892	2.5777724158763884	-0.07293681086972356	1280
20480	40	-6.181553796902299	-2.094121754169464	-87.31185213851928	0.6179487471431494	317.2556505584717	-0.059200337659567594	3200
30720	60	-5.8272440832350405	-2.6644364169665744	-199.20400509643554	0.5423989131450653	729.8598838806153	-0.06860821118578314	4480
40960	80	-3.3612312361747025	-2.673981362581253	-201.30650773620604	0.4693372472673655	688.0078005218506	-0.06262527288869023	6400
51200	100	-3.127204329852946	-2.5358579009771347	-179.44364892578125	0.44869036446884275	530.9341270446778	-0.04733253123238683	7680
61440	120	-3.205437250548042	-2.3723435839017233	-165.88459677124024	0.4366354847662151	385.57016609191896	-0.04313247084617615	9600
71680	140	-4.811101011891849	-2.3414681834333084	-170.4238259124756	0.47410542886983603	431.229001159668	-0.04596905177459121	10880
81920	160	-5.278493105699308	-2.4347804337739944	-190.26585276794432	0.4562377163404599	639.4321142578125	-0.05801387002691626	12800
92160	180	-5.968027573928237	-2.54678197611462	-243.2228902130127	0.44562129031773656	852.8282585144043	-0.05738176792860031	14080
102400	200	-6.120327676667832	-2.8783597207069396	-302.1556606140137	0.44551606591651216	1960.6697509765625	-0.06656907309312374	16000
112640	220	-3.521507297174074	-3.05760908347589	-377.31668338012696	0.416104998332914	2216.3815533447264	-0.054448796566575766	17280
122880	240	-1.2519654644436669	-3.1437653402487435	-358.702636505127	0.333842377810739	1828.871434020996	-0.03346608659252524	19200
133120	260	-2.9041166137675756	-3.196367861703038	-332.6260657043457	0.2619157319073565	1755.9816540527345	-0.05192280320450664	20480
143360	280	-2.1305601194014305	-3.2625338026455473	-309.5741785583496	0.23428893098747358	1681.5649546813966	-0.058637555660679935	22400
153600	300	-5.193806327324361	-3.410399979836232	-588.908033996582	0.48644612001813947	5330.7449713134765	-0.047582289166748525	23680
163840	320	-9.042844062516465	-4.903276826441288	-1144.896269958496	0.4938961583962664	23064.893525390624	-0.07009106868878007	25600
174080	340	-2.9537827465087174	-5.163145753599348	-396.17671588134766	0.05729019658139441	30477.561772460936	-0.06651453356258571	26880
184320	360	-2.276062229338335	-5.581249180104997	-381.2593305358887	0.029563468108419328	1662.7232330322265	-0.004845763668417931	28800
194560	380	-1.310180227656616	-5.530178806883224	-302.06340731811525	3.325954599108627e-05	1593.1599630737305	-0.011703891241922974	30080
204800	400	-1.568243995144032	-5.4438777506351474	-302.9100309753418	9.948295571547305e-06	1450.936230621338	0.0034426950849592687	32000
215040	420	-1.6143815831048414	-5.378604523264444	-292.5198664855957	2.4145526471485822e-05	1259.7320431518556	0.003935996145009994	33280
225280	440	-1.6548413926432841	-5.273808606104417	-276.48090899658206	1.7577957642934906e-05	1122.603091430664	-0.001158728525042534	35200
235520	460	-1.7033612507269718	-5.198523744156486	-252.44147651672364	1.217007684235133e-06	978.3344247436523	-0.003574901074171066	36480
245760	480	-1.78979746152414	-5.075698054830233	-229.06253799438477	2.9203607267505593e-08	710.6912268066407	0.0031054994091391564	38400
256000	500	-1.8441284146416002	-4.988225449477473	-195.7425852355957	6.453224499678861e-07	579.0123408508301	-0.006243415931239724	39680
266240	520	-1.9106215334939771	-4.85229972417538	-174.94666453552247	2.6980029061234033e-07	408.8555855178833	-0.01107834063936025	41600
276480	540	-1.9718159492551348	-4.758988043265556	-143.04776608276367	9.620947240295343e-07	292.6707542800903	0.003207700215280056	42880
286720	560	-2.085378456251696	-4.6179391086101536	-123.24378873443604	2.9449691252805486e-07	183.10593030929564	-0.006940120309591294	44800
296960	580	-2.1397979322732428	-4.524488499595059	-97.35640781402589	6.50244266755761e-07	120.84130167007446	0.007445238567888737	46080
307200	600	-2.228346111999359	-4.386925275325775	-82.43300769805909	6.48949129522236e-07	74.53678952693939	-0.0024245734605938198	48000
317440	620	-2.245569653162733	-4.301319311965596	-69.54506842803956	0.001677717560577115	66.43449336051941	0.0018879674188792706	49280
327680	640	-2.35933970146114	-4.177155920118094	-59.153589622497556	0.0006714548765730788	42.53943600177765	-0.012241895580664276	51200
337920	660	-5.701786873262841	-4.2170600854768985	-2416.026979747772	0.036124120153588325	71.63358251571655	0.003024544045329094	52480
348160	680	-3.437385950325057	-4.482325778989231	-72.55639456939697	3.900007773186953e-05	48646.990974121094	-0.044693300258368256	54400
358400	700	-2.601836699274834	-4.4063905004797315	-79.6420555229187	8.273079583022701e-06	165.54677219390868	0.006279277671128511	55680
368640	720	-2.794272997230757	-4.288669749763277	-61.01607850265503	1.5968402635893434e-06	64.83180990219117	-0.00826673824340105	57600
378880	740	-2.8871629111543298	-4.209374234728191	-47.42705815505981	7.667783626450977e-05	45.74442191123963	0.005370954256504774	58880
389120	760	-3.02653213751968	-4.092950581249438	-30.987532859802247	2.8167990826877474e-05	22.94435034751892	-0.014448510278016328	60800
399360	780	-3.0753429705556483	-4.018618868798325	-18.40267810535431	2.094304953069339e-05	58.939839005470276	-0.004937206013128161	62080
409600	800	-3.2961316112643106	-3.906719081252813	-10.54061868429184	2.8150527924674692e-05	17.468190015554427	-0.007165533183142543	64000
419840	820	-3.437539023521356	-3.8328783935775945	-5.873807437121868	0.0010747756485148274	2.600941421985626	-0.006545102335512638	65280
430080	840	-3.588807503072545	-3.7255626772308634	4.947279695987701	5.260827498792829e-05	3.5692530769109725	-0.006042790599167347	67200
440320	860	-3.719377982059494	-3.655082241867051	13.948343992173672	3.05631670158702e-06	4.923662331700325	0.0006330503709614277	68480
450560	880	-3.9356657092524694	-3.5490170427852057	19.713113458037377	1.9044027023517169e-07	8.725891705751419	0.0008739935047924519	70400
460800	900	-4.065398317837157	-3.4792023141968196	27.936926384449006	2.044100049426651e-08	11.049105633497238	-0.007465365370735526	71680
471040	920	-4.193637928520329	-3.377552339353639	32.490026231765746	4.7468118225354925e-06	19.73686656475067	0.003223910089582205	73600
481280	940	-4.368254404461012	-3.3108972968676915	37.48874862480164	1.0188093725382031e-07	19.59950543642044	-0.00010775085538625718	74880
491520	960	-4.541680476215668	-3.2129308979182194	40.885129539489746	3.429682758174778e-08	23.865491350889204	-0.0018657925352454185	76800
501760	980	-4.65890035745129	-3.1487067615857622	45.349790634155276	4.281323105830581e-06	25.839263784885407	-0.01009990124963224	78080
512000	1000	-4.827792149761692	-3.0548260608166458	48.44799112701416	4.051927676992042e-07	33.59769794225693	0.0029068145900964736	80000
522240	1020	-4.925517922800966	-2.993668074726941	52.643175830841066	9.722758713411209e-06	36.2094655752182	0.0002544192411005497	81280
532480	1040	-5.17217506101355	-2.9035510778856963	53.656760444641115	2.9423165876618416e-08	40.04788380622864	-0.00030288882553577425	83200
542720	1060	-5.223050350741484	-2.8440907060620235	59.29373831176758	1.2380906822754667e-08	45.22188782930374	-0.005336459269747138	84480
552960	1080	-5.35369344432652	-2.7569641135770966	64.95559827804566	7.992442234131635e-07	53.29449615001678	-0.0006823615171015262	86400
563200	1100	-5.522320574790239	-2.700427876377519	65.06459807205201	8.014623973255299e-06	55.98410117149353	-0.007071574628353119	87680
573440	1120	-5.678463408375159	-2.617367862417762	68.37834220123291	7.682571161395056e-07	64.17684846401215	-0.0032594218384474514	89600
583680	1140	-5.738653671804816	-2.5632726151732284	73.45212001800537	0.00013969411053714627	69.26186692237854	-0.0015028242394328117	90880
593920	1160	-5.993406176280231	-2.484367752524799	73.42645272064209	0.00043320686589818464	71.43036324977875	-0.005324409045279026	92800
604160	1180	-6.019253635675646	-2.4330452652584738	75.63869650268555	1.4647942454459716e-05	75.99058418750764	0.0012272283434867858	94080
614400	1200	-6.2164713298548016	-2.358336186843614	74.70854829406738	0.0001701039808494626	74.31180440425872	-0.009001421257853508	96000
624640	1220	-6.36146023784019	-2.309564387756645	854.2274086608887	0.2144421813596233	83.90380471229554	0.0012450218200683594	97280
634880	1240	-5.716237751010805	-2.3375285621972814	314.46567677307127	0.1828899131923469	604.175178527832	-0.0560499329585582	99200
645120	1260	-7.168550596140325	-2.365907530531667	-44.399804197371004	0.2386590705103103	1636.6111785888672	-0.06562292769551277	100480
655360	1280	-4.942806819033809	-2.3637909364304504	38.1885557050705	0.005787661043867916	1654.0849210357667	-0.02231564426794648	102400
665600	1300	-5.356699388192035	-2.335793512413439	0.32250232839584353	0.0011333516190936697	1331.5452694702149	-0.05143343809992075	103680
