steps	episodes	average_discriminator_loss	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates
10240	20	0.05320701813645428	0.29739209115505216	16.15902024078369	0.5773983035832644	3.591365282535553	-0.05970133208669722	1600
20480	40	0.06370014922400515	0.30655889846384526	37.49538270187378	0.0342636212669313	25.28588871359825	0.0008883553184568882	3200
30720	60	0.07000039085933774	0.393878889332215	48.65913370895386	0.003212664025835693	40.344426589012144	-0.0013867955654859542	4800
40960	80	0.06784228714443997	0.4756526144221425	60.300406635284425	0.0016131963601801545	62.383760282993315	0.00045594298280775546	6400
51200	100	0.06166226643020855	0.5721088780462742	78.6929100112915	0.000468111722235335	104.63223997116089	-0.0007446810603141784	8000
61440	120	0.05496164127946031	0.6854705225676299	101.29475411987305	0.0006510185414354055	175.72115222930907	0.004181841425597668	9600
71680	140	0.04916491231262171	0.7912503286131791	111.12966679382325	0.0001369130510179275	201.42431535720826	0.0005740002170205117	11200
81920	160	0.04450312584102051	0.8784694516099989	130.35837051391601	0.10269230485214212	281.9552909469605	-0.029465808048844338	12800
92160	180	0.0558822429625924	0.9411594967875215	102.09439838409423	0.2776592773494067	132.94601013183595	-0.038740794602781535	14400
102400	200	0.05624474187040005	0.8958987543731928	99.89151586914062	0.049399663578020406	160.29965318679808	0.0009933963418006897	16000
112640	220	0.053521795418815514	0.8965852339836684	80.29759636688233	0.006369530697789742	106.29067589759826	-0.0019860225915908814	17600
122880	240	0.05033818076446399	0.913952734383444	91.88944194793702	0.002271058087804704	140.10884030342103	-0.0008714009076356888	19200
133120	260	0.04734567752589835	0.9390597227101143	102.08870956420898	0.0060064176764244625	168.0392498397827	0.001869834028184414	20800
143360	280	0.048123076492618114	0.9480467292347124	102.93165417480469	0.049193528632778906	163.445956325531	-0.005282295364886522	22400
153600	300	0.04644448298402828	0.9481547203163306	83.69798223114013	0.12085264344136522	106.67876531600952	-0.012315974421799183	24000
163840	320	0.046469630956054005	0.9439446392003447	86.26976682281494	0.13932485908010858	121.65303956985474	-0.0061046512797474865	25600
174080	340	0.04509272842847408	0.95348475562299	92.53110472869874	0.1744014948317199	143.35354587554932	-0.010882185930386186	27200
184320	360	0.044818763997804274	0.9636524699214432	93.38315313720703	0.19213953130532171	130.46885118484497	-0.013758223801851273	28800
194560	380	0.04514041394704475	0.9668932314373945	85.86901330566407	0.2157430062465428	124.12614786148072	-0.012610775753855705	30400
204800	400	0.046103767770458715	0.9477372508123517	51.97436340713501	0.21812084419606254	41.20644950866699	-0.015462786471471191	32000
215040	420	0.045826328013363525	0.9307793559417838	52.329950508117676	0.17229511547103174	49.70491735458374	-0.010131863858550787	33600
225280	440	0.04465550512581207	0.9304087759757583	76.19688498687744	0.15778107920329784	92.08555660247802	-0.016671599391847848	35200
235520	460	0.043494649439278915	0.9379040476096713	90.54676282501221	0.17774344542901963	137.0540837287903	-0.016648305524140598	36800
245760	480	0.04283480164699332	0.9399605300587912	82.43443341827393	0.1741523543666117	112.12359838485717	-0.013080519028007984	38400
256000	500	0.04242797736250159	0.9357346257269382	70.31908124542237	0.20542954814375844	78.39462944030761	-0.013790431069210171	40000
266240	520	0.041895276512122846	0.927645539234464	60.54763290786743	0.1948786287359253	55.367262029647826	-0.01725947458297014	41600
276480	540	0.04096398071532079	0.9261481476326784	71.60240433883666	0.18399004878592679	88.75580993652343	-0.008985911328345537	43200
